,ZIP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",36.87,18.12,Valuation,2.0347682119205297
Price/Sales (TTM),2.07,4.52,Valuation,0.4579646017699115
Price/Book (MRQ),14.36,5.02,Valuation,2.860557768924303
"PEG Ratio (TTM, GAAP)",,8.0,Valuation,
Gross Profit Margin (TTM),0.9070999999999999,0.6097,Profitability,1.487780875840577
Operating Profit Margin (TTM),0.10310000000000001,0.24480000000000002,Profitability,0.42116013071895425
Net Profit Margin (TTM),0.069,0.1981,Profitability,0.3483089348813731
Annual Dividend Yield,,0.0001,Dividend,
Dividend Change %,,0.0003,Dividend,
"Dividend Growth Rate, 3 Years",,,Dividend,
EPS Growth (MRQ),0.6239,-0.2712,Gowth rates,-2.3005162241887906
EPS Growth (TTM),2.4116,-0.0227,Gowth rates,-106.23788546255506
Revenue Growth (MRQ),-0.0541,0.7634000000000001,Gowth rates,-0.07086717317264868
Revenue Growth (TTM),0.4391,1.7572999999999999,Gowth rates,0.24987196267000514
Return On Equity (TTM),0.3821,0.2407,Effectiveness,1.5874532613211467
Return On Assets (TTM),0.10779999999999999,0.16899999999999998,Effectiveness,0.6378698224852071
Return On Investment (TTM),0.1386,0.20510000000000003,Effectiveness,0.6757679180887372
Revenue Per Employee (TTM),795050.0,1707732.0,Effectiveness,0.46555899871876855
Total Debt/Total Capital (MRQ),0.8025,0.0821,Financial strength,9.774665042630938
Change in Debt/Total Capital Quarter over Quarter,,0.028999999999999998,Financial strength,
Quick Ratio (MRQ),,1.88,Financial strength,
Interest Coverage (MRQ),4.0,29.8,Financial strength,0.1342281879194631
