,MLM
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.022341376228775633
Growth 1yr High Est,0.16721044045677003
Growth 1yr Consensus Est,0.09477590834277283
Growth 2yr Low Est,0.09945740140110115
Growth 2yr High Est,0.18388474503621166
Growth 2yr Consensus Est,0.1416710732186564
Growth 5yr Low Est,0.09327539534902907
Growth 5yr High Est,0.14243256859653725
Growth 5yr Consensus Est,0.11785398197278316
Growth 5yr Actual/Est,0.12112803823481727
Growth 3yr Historic,0.062232427873408824
