,MLM
% Below High,0.17670000000000002
% Held by Institutions,0.9462999999999999
52-Wk Range,['284.99 - 446.46']
Annual Dividend $,2.64
Annual Dividend %,0.0072
Ask,368.46
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.9
Bid,156.95
Bid Size,200.0
Change Since Close,-2.27| |(-0.62%)
Closing Price,367.59
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",13.2
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.327
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,365.32
Market Cap,22.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",27.86
Prev Close,367.59
Short Interest,0.0213
Today's Open,
Volume,1.0
Volume 10-day Avg,306458.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.022341376228775633
Growth 1yr High Est,0.16721044045677003
Growth 1yr Consensus Est,0.09477590834277283
Growth 2yr Low Est,0.09945740140110115
Growth 2yr High Est,0.18388474503621166
Growth 2yr Consensus Est,0.1416710732186564
Growth 5yr Low Est,0.09327539534902907
Growth 5yr High Est,0.14243256859653725
Growth 5yr Consensus Est,0.11785398197278316
Growth 5yr Actual/Est,0.12112803823481727
Growth 3yr Historic,0.062232427873408824
Price/Earnings (TTM),27.85748
Price/Sales (TTM),3.69283
Price/Book (MRQ),3.29128
Price/Cash Flow (TTM),17.06972
5yr Low,135.08
5yr High,446.46
5yr Avg Return,0.14881666666666668
EPS Growth 5yr,0.1106609
Revenue Growth 5yr,0.0723077
Dividend Growth 5yr,0.07550799999999999
Short Int Current Month,1313280.0
Short Int Prev Month,1276398.0
Short Int Pct of Float,0.021293600000000003
Days to Cover,2.95907
Float,61.68006
Shares Outstanding,62.09069
Institutions Holding Shares,980.0
FCF Growth 5yr,1.0285159285159284
"Price/Earnings (TTM, GAAP)",27.86
"PEG Ratio (TTM, GAAP)",1.8
Gross Profit Margin (TTM),0.2291
Operating Profit Margin (TTM),0.1868
Net Profit Margin (TTM),0.1335
Annual Dividend Yield,0.0072
Dividend Change %,0.0536
"Dividend Growth Rate, 3 Years",0.08650000000000001
EPS Growth (MRQ),-0.17550000000000002
EPS Growth (TTM),0.1333
Revenue Growth (MRQ),0.1036
Revenue Growth (TTM),0.2125
Return On Equity (TTM),0.1241
Return On Assets (TTM),0.0579
Return On Investment (TTM),0.06230000000000001
Revenue Per Employee (TTM),618060.0
Total Debt/Total Capital (MRQ),0.4207
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),1.43
Interest Coverage (MRQ),9.52
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-08-13 00:00:00
theStreet since,2022-08-11 00:00:00
cfra since,2022-02-11 00:00:00
ford since,2021-07-02 00:00:00
marketEdge opinion since,
