,DT
% Above Low,0.2482
% Held by Institutions,0.9765
52-Wk Range,['29.41 - 65.79']
Annual Dividend $,
Annual Dividend %,
Ask,41.51
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,32.2
Bid Size,200.0
Closing Price,36.71
Day Change $,-0.17
Day Change %,-0.0046
Day High,36.96
Day Low,36.3
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.1
Ex-dividend Date,No dividend
Historical Volatility,0.583
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,10.6B
"P/E Ratio (TTM, GAAP)",379.71
Prev Close,36.88
Short Interest,0.0599
Today's Open,36.41
Volume,490826.0
Volume 10-day Avg,1931191.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,0.2272727272727273
Growth 1yr High Est,0.25714285714285734
Growth 1yr Consensus Est,0.24220779220779232
Growth 2yr Low Est,0.14450056116722776
Growth 2yr High Est,0.31607142857142867
Growth 2yr Consensus Est,0.23028599486932821
Growth 5yr Low Est,0.12365611181640324
Growth 5yr High Est,0.24196428571428577
Growth 5yr Consensus Est,0.18281019876534452
Growth 5yr Actual/Est,0.3751080815226694
Growth 3yr Historic,0.27790578597030213
Price/Earnings (TTM),379.7062
Price/Sales (TTM),10.16115
Price/Book (MRQ),7.53783
Price/Cash Flow (TTM),126.1892
5yr Low,17.05
5yr High,80.13
5yr Avg Return,0.16867499999999996
EPS Growth 5yr,1.3085149999999999
Revenue Growth 5yr,0.1799373
Dividend Growth 5yr,
Short Int Current Month,11390209.0
Short Int Prev Month,14074946.0
Short Int Pct of Float,0.0598745
Days to Cover,3.56743
Float,194.8762
Shares Outstanding,287.853
Institutions Holding Shares,563.0
FCF Growth 5yr,0.10470960996918936
"Price/Earnings (TTM, GAAP)",379.71
"PEG Ratio (TTM, GAAP)",19.22
Gross Profit Margin (TTM),0.8078000000000001
Operating Profit Margin (TTM),0.0753
Net Profit Margin (TTM),0.0271
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),3.9685
EPS Growth (TTM),-0.6607
Revenue Growth (MRQ),0.0451
Revenue Growth (TTM),0.2752
Return On Equity (TTM),0.0215
Return On Assets (TTM),0.0121
Return On Investment (TTM),0.0168
Revenue Per Employee (TTM),288875.0
Total Debt/Total Capital (MRQ),0.133
Change in Debt/Total Capital Quarter over Quarter,-0.004
Quick Ratio (MRQ),
Interest Coverage (MRQ),39.76
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,
researchTeam since,
marketEdge opinion since,
