,DT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",379.71,54.08,Valuation,7.021264792899408
Price/Sales (TTM),10.16,9.39,Valuation,1.0820021299254525
Price/Book (MRQ),7.54,12.63,Valuation,0.5969912905779888
"PEG Ratio (TTM, GAAP)",19.22,1.92,Valuation,10.010416666666666
Gross Profit Margin (TTM),0.8078000000000001,0.7206,Profitability,1.1210102692200945
Operating Profit Margin (TTM),0.0753,0.2172,Profitability,0.3466850828729282
Net Profit Margin (TTM),0.0271,0.1553,Profitability,0.17450096587250483
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),3.9685,-0.0752,Gowth rates,-52.77260638297872
EPS Growth (TTM),-0.6607,-0.2824,Gowth rates,2.3395892351274785
Revenue Growth (MRQ),0.0451,0.15560000000000002,Gowth rates,0.2898457583547558
Revenue Growth (TTM),0.2752,0.1906,Gowth rates,1.4438614900314797
Return On Equity (TTM),0.0215,0.2189,Effectiveness,0.09821836455002284
Return On Assets (TTM),0.0121,0.10740000000000001,Effectiveness,0.11266294227188081
Return On Investment (TTM),0.0168,0.1387,Effectiveness,0.12112472963229994
Revenue Per Employee (TTM),288875.0,667721.0,Effectiveness,0.43262829834616556
Total Debt/Total Capital (MRQ),0.133,0.39659999999999995,Financial strength,0.335350479072113
Change in Debt/Total Capital Quarter over Quarter,-0.004,0.0004,Financial strength,-10.0
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),39.76,0.28,Financial strength,141.99999999999997
