,EOLS
% Above Low,0.5056
% Held by Institutions,0.48829999999999996
52-Wk Range,['5.06 - 14.34']
Annual Dividend $,
Annual Dividend %,
Ask,7.64
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.9
Bid,7.17
Bid Size,200.0
Closing Price,7.62
Day Change $,0.11
Day Change %,0.0146
Day High,7.68
Day Low,7.4
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.42
Ex-dividend Date,No dividend
Historical Volatility,0.662
Last (size),500.0
Last (time),12:59p ET 11/25/22
Market Cap,428.6M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,7.51
Short Interest,0.0623
Today's Open,7.47
Volume,82470.0
Volume 10-day Avg,338990.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.28846153846153855
Growth 2yr High Est,-1.2584269662921348
Growth 2yr Consensus Est,-0.7734442523768367
Growth 5yr Low Est,-0.28846153846153855
Growth 5yr High Est,-1.2584269662921348
Growth 5yr Consensus Est,-0.7734442523768367
Growth 5yr Actual/Est,-0.40529419827141383
Growth 3yr Historic,-0.18024259868421053
Price/Earnings (TTM),
Price/Sales (TTM),3.0696
Price/Book (MRQ),14.65153
Price/Cash Flow (TTM),
5yr Low,2.85
5yr High,39.5
5yr Avg Return,0.08612
Short Int Current Month,2340235.0
Short Int Prev Month,2553391.0
Short Int Pct of Float,0.062315300000000004
Days to Cover,4.70958
Float,37.62093
Shares Outstanding,56.24657
Institutions Holding Shares,173.0
FCF Growth 5yr,0.32435896607934406
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5821000000000001
Operating Profit Margin (TTM),-0.5206000000000001
Net Profit Margin (TTM),-0.5688000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1376
EPS Growth (TTM),0.6245
Revenue Growth (MRQ),-0.08779999999999999
Revenue Growth (TTM),0.6313000000000001
Return On Equity (TTM),-1.2545
Return On Assets (TTM),-0.38939999999999997
Return On Investment (TTM),-0.5567000000000001
Revenue Per Employee (TTM),836090.0
Total Debt/Total Capital (MRQ),0.7105
Change in Debt/Total Capital Quarter over Quarter,0.0301
Quick Ratio (MRQ),1.84
Interest Coverage (MRQ),-7.24
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-09-01 00:00:00
researchTeam since,2020-09-01 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
