,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,39.5,30.25,13.75,17.38,14.34,,,,,
low,6.75,11.34,2.85,3.06,5.06,,,,,
change,0.057800000000000004,0.0227,-0.7256999999999999,0.9035,0.1723,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,146256.0,106671.0,84484.0,65572.0,Balance Sheet
Short Term Investments,,,,,,0.0,,,,Balance Sheet
Cash and Short Term Invs,,,,,,146256.0,106671.0,84484.0,65572.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,17042.0,19629.0,24066.0,24191.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,-2385.0,-2829.0,-3040.0,-3271.0,Balance Sheet
"Total Receivables, Net",,,,,,14657.0,16800.0,21026.0,20920.0,Balance Sheet
Total Inventory,,,,,,1762.0,3615.0,12289.0,21565.0,Balance Sheet
Prepaid Expenses,,,,,,5082.0,4533.0,4724.0,3656.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,11042.0,11309.0,11424.0,4233.0,Balance Sheet
Total Current Assets,,,,,,178799.0,142928.0,133947.0,115946.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,4093.0,3840.0,3801.0,4031.0,Balance Sheet
"Goodwill, Net",,,,,,21208.0,21208.0,21208.0,21208.0,Balance Sheet
Intangibles - Gross,,,,,,66390.0,66640.0,66796.0,67328.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-15765.0,-16608.0,-17381.0,-18220.0,Balance Sheet
Intangibles - Net,,,,,,50625.0,50032.0,49415.0,49108.0,Balance Sheet
Other Long Term Assets,,,,,,2758.0,2654.0,2548.0,2426.0,Balance Sheet
Total Assets,,,,,,257483.0,220662.0,210919.0,192719.0,Balance Sheet
Accounts Payable,,,,,,6091.0,7565.0,10486.0,8564.0,Balance Sheet
Accrued Expenses,,,,,,38324.0,22426.0,28143.0,26002.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,0.0,,,,Balance Sheet
Customer Advances,,,,,,7934.0,4992.0,6687.0,10188.0,Balance Sheet
Other Current Liabilities,,,,,,5314.0,5717.0,6215.0,6517.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,13248.0,10709.0,12902.0,16705.0,Balance Sheet
Total Current Liabilities,,,,,,57663.0,40700.0,51531.0,51271.0,Balance Sheet
Total Long Term Debt,,,,,,71222.0,71381.0,71545.0,71712.0,Balance Sheet
Total Debt,,,,,,71222.0,71381.0,71545.0,71712.0,Balance Sheet
Deferred Income Tax,,,,,,40.0,23.0,29.0,25.0,Balance Sheet
"Other Liabilities, Total",,,,,,46682.0,41310.0,40953.0,40491.0,Balance Sheet
Total Liabilities,,,,,,175607.0,153414.0,164058.0,163499.0,Balance Sheet
Common Stock,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Additional Paid-In Capital,,,,,,504757.0,507733.0,510879.0,513717.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-422882.0,-440383.0,-463854.0,-484130.0,Balance Sheet
"Other Equity, Total",,,,,,,-103.0,-165.0,-368.0,Balance Sheet
Total Equity,,,,,,81876.0,67248.0,46861.0,29220.0,Balance Sheet
