,TCBK
% Below High,0.0993
% Held by Institutions,0.6115999999999999
52-Wk Range,['37.41 - 58.62']
Annual Dividend $,1.2
Annual Dividend %,0.022099999999999998
Ask,52.84
Ask Size,200.0
Ask close,66.66
B/A Ratio,6.5
B/A Size,1300x200
Beta,0.6
Bid,52.8
Bid Size,1300.0
Bid close,40.85
Change Since Close,0.00| |(0.00%)
Closing Price,52.8
Day Change $,-1.49
Day Change %,-0.0274
Day High,54.28
Day Low,52.76
Dividend Pay Date,2022-12-23 00:00:00
"EPS (TTM, GAAP)",3.67
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.273
Last (size),2.0
Last (time),4:00p ET 11/28/22
Last Trade,52.8
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",14.81
Prev Close,54.29
Short Interest,0.019799999999999998
Today's Open,54.28
Volume,63022.0
Volume 10-day Avg,70983.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.007772020725388629
Growth 1yr High Est,0.0
Growth 1yr Consensus Est,0.0038860103626943143
Growth 2yr Low Est,0.056585239154468
Growth 2yr High Est,0.10759493670886067
Growth 2yr Consensus Est,0.08209008793166434
Growth 5yr Low Est,0.18320837431060205
Growth 5yr High Est,0.19107992638615684
Growth 5yr Consensus Est,0.18714415034837945
Growth 5yr Actual/Est,0.1813056054345032
Growth 3yr Historic,0.1360185185185185
Price/Earnings (TTM),14.80966
Price/Sales (TTM),4.75481
Price/Book (MRQ),1.82726
Price/Cash Flow (TTM),14.02019
5yr Low,23.05
5yr High,58.62
5yr Avg Return,0.04948333333333333
EPS Growth 5yr,0.1519585
Revenue Growth 5yr,0.0978594
Dividend Growth 5yr,0.10756629999999999
Short Int Current Month,627615.0
Short Int Prev Month,787952.0
Short Int Pct of Float,0.0197686
Days to Cover,9.29759
Float,31.75874
Shares Outstanding,33.32719
Institutions Holding Shares,195.0
FCF Growth 5yr,0.27412980696154426
"Price/Earnings (TTM, GAAP)",14.81
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.4243
Net Profit Margin (TTM),0.30829999999999996
Annual Dividend Yield,0.0221
Dividend Change %,0.13640000000000002
"Dividend Growth Rate, 3 Years",0.1262
Return On Equity (TTM),0.1189
Return On Assets (TTM),0.012700000000000001
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0021
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-28 00:00:00
theStreet since,2020-11-16 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
