,PACB
% Above Low,1.5804
% Held by Institutions,0.8709
52-Wk Range,['3.85 - 23.87']
Annual Dividend $,
Annual Dividend %,
Ask,9.94
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.5
Bid,9.93
Bid Size,300.0
Day Change $,-0.1755
Day Change %,-0.0174
Day High,10.21
Day Low,9.9
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.34
Ex-dividend Date,No dividend
Historical Volatility,1.056
Last (size),1.0
Last (time),9:57a ET 11/28/22
Market Cap,2.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,10.11
Price,9.93
Short Interest,0.1174
Today's Open,9.9
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.6627906976744184
Growth 1yr High Est,0.5952380952380953
Growth 1yr Consensus Est,0.6290143964562569
Growth 2yr Low Est,0.33489185233371277
Growth 2yr High Est,0.2603056147832267
Growth 2yr Consensus Est,0.2975987335584698
Growth 5yr Low Est,0.33489185233371277
Growth 5yr High Est,0.2603056147832267
Growth 5yr Consensus Est,0.2975987335584698
Growth 5yr Actual/Est,-1.7365912965976902
Growth 3yr Historic,-1.8713903743315505
Price/Earnings (TTM),
Price/Sales (TTM),16.68953
Price/Book (MRQ),3.64514
Price/Cash Flow (TTM),
5yr Low,2.02
5yr High,53.69
5yr Avg Return,0.7776499999999998
EPS Growth 5yr,
Revenue Growth 5yr,0.075464
Dividend Growth 5yr,
Short Int Current Month,24192224.0
Short Int Prev Month,23237189.0
Short Int Pct of Float,0.1174154
Days to Cover,3.32495
Float,206.3774
Shares Outstanding,226.1093
Institutions Holding Shares,300.0
FCF Growth 5yr,0.3150789807416313
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4429
Operating Profit Margin (TTM),-2.0791999999999997
Net Profit Margin (TTM),-2.1844
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0752
EPS Growth (TTM),-4.4521
Revenue Growth (MRQ),-0.08900000000000001
Revenue Growth (TTM),0.1261
Return On Equity (TTM),-0.4078
Return On Assets (TTM),-0.1553
Return On Investment (TTM),-0.161
Revenue Per Employee (TTM),188146.0
Total Debt/Total Capital (MRQ),0.5886
Change in Debt/Total Capital Quarter over Quarter,0.0012
Quick Ratio (MRQ),10.66
Interest Coverage (MRQ),-20.37
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-05-05 00:00:00
theStreet since,2021-05-05 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-02 00:00:00
cfra since,
marketEdge opinion since,
