,PACB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,83.95,Valuation,
Price/Sales (TTM),16.69,6.06,Valuation,2.7541254125412546
Price/Book (MRQ),3.65,6.22,Valuation,0.5868167202572347
"PEG Ratio (TTM, GAAP)",,3.53,Valuation,
Gross Profit Margin (TTM),0.4429,0.5095000000000001,Profitability,0.8692836113837095
Operating Profit Margin (TTM),-2.0791999999999997,0.0332,Profitability,-62.62650602409638
Net Profit Margin (TTM),-2.1844,-0.0454,Profitability,48.11453744493392
Annual Dividend Yield,,0.0022,Dividend,
Dividend Change %,,0.0891,Dividend,
"Dividend Growth Rate, 3 Years",,0.0714,Dividend,
EPS Growth (MRQ),-0.0752,-0.5094,Gowth rates,0.14762465645857872
EPS Growth (TTM),-4.4521,-0.2377,Gowth rates,18.72991165334455
Revenue Growth (MRQ),-0.08900000000000001,0.1691,Gowth rates,-0.5263157894736843
Revenue Growth (TTM),0.1261,0.1222,Gowth rates,1.0319148936170213
Return On Equity (TTM),-0.4078,1.1042,Effectiveness,-0.3693171526897301
Return On Assets (TTM),-0.1553,0.0644,Effectiveness,-2.4114906832298137
Return On Investment (TTM),-0.161,0.0802,Effectiveness,-2.007481296758105
Revenue Per Employee (TTM),188146.0,335561.0,Effectiveness,0.5606909026972741
Total Debt/Total Capital (MRQ),0.5886,0.3893,Financial strength,1.5119445157975855
Change in Debt/Total Capital Quarter over Quarter,0.0012,0.0252,Financial strength,0.047619047619047616
Quick Ratio (MRQ),10.66,1.51,Financial strength,7.059602649006623
Interest Coverage (MRQ),-20.37,33.07,Financial strength,-0.615966132446326
