,CRI
% Above Low,0.1991
% Held by Institutions,1.1588
52-Wk Range,['62.66 - 107.96']
Annual Dividend $,3.0
Annual Dividend %,0.039900000000000005
Ask,108.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.3
Bid,75.15
Bid Size,100.0
Closing Price,75.13
Day Change $,-0.17
Day Change %,-0.0023
Day High,75.97
Day Low,74.92
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",6.65
Ex-dividend,2022-11-28 00:00:00
Ex-dividend Date,11/28/22
Historical Volatility,0.396
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,2.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.3
Prev Close,75.3
Short Interest,0.061799999999999994
Today's Open,74.92
Volume,226100.0
Volume 10-day Avg,684105.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.19104084321475634
Growth 1yr High Est,-0.1472868217054264
Growth 1yr Consensus Est,-0.16916383246009137
Growth 2yr Low Est,-0.12320771802431629
Growth 2yr High Est,0.02484143763213531
Growth 2yr Consensus Est,-0.04918314019609049
Growth 5yr Low Est,-0.0210219294562623
Growth 5yr High Est,0.055602536997885865
Growth 5yr Consensus Est,0.017290303770811782
Growth 5yr Actual/Est,0.10414786321128638
Growth 3yr Historic,0.1339474428435342
Price/Earnings (TTM),11.30009
Price/Sales (TTM),0.85261
Price/Book (MRQ),3.66558
Price/Cash Flow (TTM),8.39024
5yr Low,60.17
5yr High,129.0
5yr Avg Return,-0.02871666666666666
EPS Growth 5yr,0.0898964
Revenue Growth 5yr,0.017386600000000002
Dividend Growth 5yr,0.011837599999999998
Short Int Current Month,2294625.0
Short Int Prev Month,2808310.0
Short Int Pct of Float,0.0617588
Days to Cover,3.0802
Float,37.26467
Shares Outstanding,38.16159
Institutions Holding Shares,405.0
FCF Growth 5yr,-0.2956240142286653
"Price/Earnings (TTM, GAAP)",11.3
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4608
Operating Profit Margin (TTM),0.1153
Net Profit Margin (TTM),0.07940000000000001
Annual Dividend Yield,0.039900000000000005
Dividend Change %,
"Dividend Growth Rate, 3 Years",-0.0804
EPS Growth (MRQ),0.7126
EPS Growth (TTM),-0.1445
Revenue Growth (MRQ),0.16829999999999998
Revenue Growth (TTM),-0.0151
Return On Equity (TTM),0.2856
Return On Assets (TTM),0.0904
Return On Investment (TTM),0.1144
Revenue Per Employee (TTM),211490.0
Total Debt/Total Capital (MRQ),0.483
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),0.81
Interest Coverage (MRQ),9.69
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-06-06 00:00:00
cfra since,2022-10-28 00:00:00
ford since,2022-06-24 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-06-06 00:00:00
