,DMRC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),14.6,9.39,Valuation,1.5548455804046857
Price/Book (MRQ),3.69,12.63,Valuation,0.2921615201900237
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.5147999999999999,0.7206,Profitability,0.7144046627810157
Operating Profit Margin (TTM),-1.8848,0.2172,Profitability,-8.677716390423573
Net Profit Margin (TTM),-1.8467,0.1553,Profitability,-11.891178364455893
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.0105,-0.0752,Gowth rates,0.1396276595744681
EPS Growth (TTM),-0.0518,-0.2824,Gowth rates,0.18342776203966007
Revenue Growth (MRQ),0.0096,0.15560000000000002,Gowth rates,0.06169665809768636
Revenue Growth (TTM),0.20670000000000002,0.1906,Gowth rates,1.084470094438615
Return On Equity (TTM),-0.6796,0.2189,Effectiveness,-3.1046139789858382
Return On Assets (TTM),-0.5795,0.10740000000000001,Effectiveness,-5.395716945996275
Return On Investment (TTM),-0.6444,0.1387,Effectiveness,-4.645998558038933
Revenue Per Employee (TTM),132035.0,667721.0,Effectiveness,0.19773977454655461
Total Debt/Total Capital (MRQ),0.0,0.39659999999999995,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0004,Financial strength,
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
