,DMRC
% Above Low,0.7622
% Held by Institutions,0.589
52-Wk Range,['12.45 - 46.18']
Annual Dividend $,
Annual Dividend %,
Ask,23.77
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.4
Bid,15.0
Bid Size,300.0
Closing Price,21.94
Day Change $,-0.39
Day Change %,-0.0175
Day High,23.08
Day Low,21.76
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.03
Ex-dividend Date,No dividend
Historical Volatility,0.751
Last (size),6.0
Last (time),12:59p ET 11/25/22
Market Cap,438.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,22.33
Short Interest,0.1723
Today's Open,22.1
Volume,44685.0
Volume 10-day Avg,101852.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,0.004716981132075304
Growth 1yr High Est,-0.014150943396226578
Growth 1yr Consensus Est,-0.004716981132075637
Growth 2yr Low Est,0.255879617326601
Growth 2yr High Est,-0.06209939514308932
Growth 2yr Consensus Est,0.09689011109175585
Growth 5yr Low Est,0.06419979229437892
Growth 5yr High Est,-0.09011196863381571
Growth 5yr Consensus Est,-0.012956088169718397
Growth 5yr Actual/Est,-0.01392028426312178
Growth 3yr Historic,-0.06486815156169998
Price/Earnings (TTM),
Price/Sales (TTM),14.60234
Price/Book (MRQ),3.68794
Price/Cash Flow (TTM),
5yr Low,9.92
5yr High,66.5
5yr Avg Return,0.08555000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.040042999999999995
Dividend Growth 5yr,
Short Int Current Month,2377438.0
Short Int Prev Month,2292957.0
Short Int Pct of Float,0.1722776
Days to Cover,10.91645
Float,13.7955
Shares Outstanding,20.03596
Institutions Holding Shares,105.0
FCF Growth 5yr,0.3424552810181301
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5147999999999999
Operating Profit Margin (TTM),-1.8848
Net Profit Margin (TTM),-1.8467
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0105
EPS Growth (TTM),-0.0518
Revenue Growth (MRQ),0.0096
Revenue Growth (TTM),0.20670000000000002
Return On Equity (TTM),-0.6796
Return On Assets (TTM),-0.5795
Return On Investment (TTM),-0.6444
Revenue Per Employee (TTM),132035.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2015-02-20 00:00:00
ford since,2022-10-21 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2015-02-20 00:00:00
marketEdge opinion since,
