,OB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",11.53,18.12,Valuation,0.6363134657836644
Price/Sales (TTM),0.21,4.52,Valuation,0.046460176991150445
Price/Book (MRQ),0.96,5.02,Valuation,0.19123505976095617
"PEG Ratio (TTM, GAAP)",,8.0,Valuation,
Gross Profit Margin (TTM),0.2071,0.6097,Profitability,0.3396752501230113
Operating Profit Margin (TTM),-0.0008,0.24480000000000002,Profitability,-0.0032679738562091504
Net Profit Margin (TTM),0.0216,0.1981,Profitability,0.10903584048460374
Annual Dividend Yield,,0.0001,Dividend,
Dividend Change %,,0.0003,Dividend,
"Dividend Growth Rate, 3 Years",,,Dividend,
EPS Growth (MRQ),0.5327000000000001,-0.2712,Gowth rates,-1.9642330383480828
EPS Growth (TTM),,-0.0227,Gowth rates,
Revenue Growth (MRQ),-0.08720000000000001,0.7634000000000001,Gowth rates,-0.11422583180508253
Revenue Growth (TTM),,1.7572999999999999,Gowth rates,
Return On Equity (TTM),0.0984,0.2407,Effectiveness,0.4088076443705858
Return On Assets (TTM),0.029500000000000002,0.16899999999999998,Effectiveness,0.1745562130177515
Return On Investment (TTM),0.045899999999999996,0.20510000000000003,Effectiveness,0.2237932715748415
Revenue Per Employee (TTM),1007662.0,1707732.0,Effectiveness,0.5900586274661364
Total Debt/Total Capital (MRQ),0.5156000000000001,0.0821,Financial strength,6.280146163215591
Change in Debt/Total Capital Quarter over Quarter,0.0001,0.028999999999999998,Financial strength,0.003448275862068966
Quick Ratio (MRQ),,1.88,Financial strength,
Interest Coverage (MRQ),,29.8,Financial strength,
