,OB
% Above Low,0.1813
% Held by Institutions,0.6397999999999999
52-Wk Range,['3.42 - 15.73']
Annual Dividend $,
Annual Dividend %,
Ask,4.34
Ask Size,100.0
Ask close,4.91
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,4.24
Bid Size,200.0
Bid close,3.13
Change Since Close,0.22| |(5.45%)
Closing Price,4.04
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.35
Ex-dividend Date,No dividend
Historical Volatility,0.7240000000000001
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,4.26
Market Cap,212.3M
"P/E Ratio (TTM, GAAP)",11.53
Prev Close,4.04
Short Interest,0.0195
Today's Open,
Volume,21697.0
Volume 10-day Avg,284028.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.28125
Growth 2yr High Est,-0.2592592592592593
Growth 2yr Consensus Est,0.01099537037037035
Growth 5yr Low Est,0.28125
Growth 5yr High Est,-0.2592592592592593
Growth 5yr Consensus Est,0.01099537037037035
Growth 5yr Actual/Est,-0.6785714285714286
Growth 3yr Historic,0.0
Price/Earnings (TTM),11.53297
Price/Sales (TTM),0.20739
Price/Book (MRQ),0.9622
Price/Cash Flow (TTM),4.4783
5yr Low,3.42
5yr High,20.99
5yr Avg Return,-0.5057
Short Int Current Month,816654.0
Short Int Prev Month,1005816.0
Short Int Pct of Float,0.0195293
Days to Cover,3.00131
Float,41.83918
Shares Outstanding,52.55576
Institutions Holding Shares,115.0
FCF Growth 5yr,0.21572698869843268
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",11.53
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2071
Operating Profit Margin (TTM),-0.0008
Net Profit Margin (TTM),0.0216
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5327000000000001
EPS Growth (TTM),
Revenue Growth (MRQ),-0.08720000000000001
Revenue Growth (TTM),
Return On Equity (TTM),0.0984
Return On Assets (TTM),0.029500000000000002
Return On Investment (TTM),0.045899999999999996
Revenue Per Employee (TTM),1007662.0
Total Debt/Total Capital (MRQ),0.5156000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
cfra,
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
theStreet since,2022-11-21 00:00:00
cfra since,
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
