,ISRG
% Above Low,0.47240000000000004
% Held by Institutions,0.8481000000000001
52-Wk Range,['180.07 - 369.21']
Annual Dividend $,
Annual Dividend %,
Ask,265.95
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,265.01
Bid Size,100.0
Closing Price,265.13
Day Change $,0.68
Day Change %,0.0026
Day High,265.35
Day Low,261.41
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.78
Ex-dividend Date,No dividend
Historical Volatility,0.44700000000000006
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,93.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",70.21
Prev Close,264.45
Short Interest,0.0178
Today's Open,263.69
Volume,788105.0
Volume 10-day Avg,2015051.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.0021739130434782483
Growth 1yr High Est,-0.10147601476014756
Growth 1yr Consensus Est,-0.051824963901812904
Growth 2yr Low Est,0.04466467746518893
Growth 2yr High Est,0.05090470309220546
Growth 2yr Consensus Est,0.047784690278697195
Growth 5yr Low Est,-0.16917231913486055
Growth 5yr High Est,-0.14397038467945983
Growth 5yr Consensus Est,-0.15657135190716018
Growth 5yr Actual/Est,0.09229161668102553
Growth 3yr Historic,0.06519347562033664
Price/Earnings (TTM),70.21247
Price/Sales (TTM),15.31454
Price/Book (MRQ),8.13436
Price/Cash Flow (TTM),53.29211
5yr Low,119.92
5yr High,369.69
5yr Avg Return,0.1476
EPS Growth 5yr,0.17424050000000002
Revenue Growth 5yr,0.16103989999999999
Dividend Growth 5yr,
Short Int Current Month,6263392.0
Short Int Prev Month,6996235.0
Short Int Pct of Float,0.0178128
Days to Cover,2.66699
Float,351.6506
Shares Outstanding,353.3846
Institutions Holding Shares,1875.0
FCF Growth 5yr,0.6748357327067701
"Price/Earnings (TTM, GAAP)",70.21
"PEG Ratio (TTM, GAAP)",8.49
Gross Profit Margin (TTM),0.6777
Operating Profit Margin (TTM),0.2705
Net Profit Margin (TTM),0.2273
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0626
EPS Growth (TTM),-0.18460000000000001
Revenue Growth (MRQ),0.0232
Revenue Growth (TTM),0.11470000000000001
Return On Equity (TTM),0.1202
Return On Assets (TTM),0.10619999999999999
Return On Investment (TTM),0.1167
Revenue Per Employee (TTM),624722.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),4.42
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-05-20 00:00:00
researchTeam since,2022-10-19 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-19 00:00:00
ford since,2022-09-02 00:00:00
marketEdge opinion since,
