,ISRG
Price/Earnings (TTM),70.21247
Price/Sales (TTM),15.31454
Price/Book (MRQ),8.13436
Price/Cash Flow (TTM),53.29211
5yr Low,119.92
5yr High,369.69
5yr Avg Return,0.1476
EPS Growth 5yr,0.17424050000000002
Revenue Growth 5yr,0.16103989999999999
Dividend Growth 5yr,
Short Int Current Month,6263392.0
Short Int Prev Month,6996235.0
Short Int Pct of Float,0.0178128
Days to Cover,2.66699
Float,351.6506
Shares Outstanding,353.3846
Institutions Holding Shares,1875.0
% Held by Institutions,0.848112
FCF Growth 5yr,0.6748357327067701
