,ISRG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",70.21,61.36,Valuation,1.1442307692307692
Price/Sales (TTM),15.31,9.8,Valuation,1.5622448979591836
Price/Book (MRQ),8.13,10.31,Valuation,0.7885548011639185
"PEG Ratio (TTM, GAAP)",8.49,3.02,Valuation,2.8112582781456954
Gross Profit Margin (TTM),0.6777,0.6196,Profitability,1.0937701743060038
Operating Profit Margin (TTM),0.2705,0.047,Profitability,5.755319148936171
Net Profit Margin (TTM),0.2273,0.009300000000000001,Profitability,24.44086021505376
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),0.0626,-0.4858,Gowth rates,-0.1288596130094689
EPS Growth (TTM),-0.18460000000000001,-0.2029,Gowth rates,0.9098077870872352
Revenue Growth (MRQ),0.0232,0.1161,Gowth rates,0.19982773471145562
Revenue Growth (TTM),0.11470000000000001,0.18300000000000002,Gowth rates,0.626775956284153
Return On Equity (TTM),0.1202,0.1068,Effectiveness,1.1254681647940075
Return On Assets (TTM),0.10619999999999999,0.0622,Effectiveness,1.7073954983922828
Return On Investment (TTM),0.1167,0.0732,Effectiveness,1.5942622950819672
Revenue Per Employee (TTM),624722.0,403586.0,Effectiveness,1.54792782703067
Total Debt/Total Capital (MRQ),0.0,0.3161,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0125,Financial strength,
Quick Ratio (MRQ),4.42,2.25,Financial strength,1.9644444444444444
Interest Coverage (MRQ),,14.99,Financial strength,
