,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,19.45,20.8,20.65,22.77,23.54,,,,,
low,13.25,13.6,6.84,13.89,10.04,,,,,
change,-0.1961,0.4304,-0.2766,0.4987,-0.4922,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,771.0,612.0,477.0,381.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,1518.0,1451.0,1620.0,1404.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,-72.0,-78.0,-80.0,-80.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,1765.0,1733.0,1972.0,1716.0,Balance Sheet
Other Receivables,,,,,,73.0,79.0,82.0,80.0,Balance Sheet
"Total Receivables, Net",,,,,,1837.0,1813.0,2054.0,1796.0,Balance Sheet
Prepaid Expenses,,,,,,222.0,132.0,125.0,118.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,116.0,106.0,109.0,Balance Sheet
Total Current Assets,,,,,,2830.0,2673.0,2761.0,2403.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,608.0,591.0,559.0,501.0,Balance Sheet
"Goodwill, Net",,,,,,2082.0,2084.0,2050.0,2021.0,Balance Sheet
Intangibles - Gross,,,,,,1944.0,1941.0,1928.0,1909.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-1022.0,-1033.0,-1029.0,-1023.0,Balance Sheet
Intangibles - Net,,,,,,922.0,908.0,899.0,885.0,Balance Sheet
Long Term Investments,,,,,,641.0,654.0,657.0,659.0,Balance Sheet
Note Rcvble - Long Term,,,,,,277.0,369.0,364.0,384.0,Balance Sheet
Other Long Term Assets,,,,,,464.0,411.0,381.0,690.0,Balance Sheet
Total Assets,,,,,,7890.0,7756.0,7734.0,7622.0,Balance Sheet
Payable/Accrued,,,,,,1043.0,1024.0,1043.0,1029.0,Balance Sheet
Accrued Expenses,,,,,,976.0,840.0,886.0,855.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,42.0,43.0,45.0,46.0,Balance Sheet
Customer Advances,,,,,,63.0,59.0,48.0,49.0,Balance Sheet
Income Taxes Payable,,,,,,105.0,137.0,55.0,27.0,Balance Sheet
Other Current Liabilities,,,,,,205.0,216.0,235.0,217.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,372.0,412.0,338.0,293.0,Balance Sheet
Total Current Liabilities,,,,,,2435.0,2319.0,2312.0,2223.0,Balance Sheet
Long Term Debt,,,,,,3221.0,3216.0,3186.0,3179.0,Balance Sheet
Capital Lease Obligations,,,,,,,,26.0,32.0,Balance Sheet
Total Long Term Debt,,,,,,3221.0,3216.0,3212.0,3212.0,Balance Sheet
Total Debt,,,,,,3263.0,3259.0,3257.0,3258.0,Balance Sheet
Deferred Income Tax,,,,,,49.0,36.0,5.0,15.0,Balance Sheet
Minority Interest,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
"Other Liabilities, Total",,,,,,738.0,646.0,618.0,594.0,Balance Sheet
Total Liabilities,,,,,,6443.0,6218.0,6148.0,6044.0,Balance Sheet
Common Stock,,,,,,22.0,23.0,23.0,23.0,Balance Sheet
Additional Paid-In Capital,,,,,,2897.0,2880.0,2892.0,2902.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-1278.0,-1233.0,-1136.0,-1112.0,Balance Sheet
Cum. Trans. Adjustment,,,,,,-105.0,-112.0,-194.0,-279.0,Balance Sheet
Min. Pension Lblty Adj.,,,,,,-5.0,-7.0,-8.0,-8.0,Balance Sheet
Other Comprehensive Income,,,,,,-84.0,-14.0,8.0,51.0,Balance Sheet
"Other Equity, Total",,,,,,-193.0,-132.0,-194.0,-235.0,Balance Sheet
Total Equity,,,,,,1448.0,1538.0,1586.0,1577.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,7890.0,7756.0,7734.0,7622.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,224.0,225.0,226.0,226.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,2884.0,2331.0,2613.0,2515.0,Income Statement
"Cost of Revenue, Total",,,,,,2226.0,1861.0,2078.0,2053.0,Income Statement
Depreciation/Amortization,,,,,,44.0,41.0,40.0,34.0,Income Statement
Unusual Expense (Income),,,,,,5.0,1.0,1.0,1.0,Income Statement
"Other Operat Expse, Total",,,,,,359.0,293.0,318.0,316.0,Income Statement
Total Operating Expense,,,,,,2634.0,2196.0,2436.0,2403.0,Income Statement
Total Operating Income,,,,,,249.0,135.0,177.0,112.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,,,-48.0,-43.0,-46.0,-50.0,Income Statement
"Other, Net",,,,,,-15.0,-33.0,-25.0,-32.0,Income Statement
Income Before Tax,,,,,,198.0,76.0,123.0,50.0,Income Statement
Income Tax - Total,,,,,,52.0,31.0,26.0,26.0,Income Statement
Income After Tax,,,,,,146.0,46.0,97.0,24.0,Income Statement
Net Inc Before Extra Items,,,,,,146.0,46.0,97.0,24.0,Income Statement
Total Net Income,,,,,,146.0,46.0,97.0,24.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,146.0,46.0,97.0,24.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,146.0,46.0,97.0,24.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,223.0,229.0,226.0,226.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,0.65,0.2,0.43,0.11,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,0.65,0.2,0.43,0.11,Income Statement
Diluted Weighted Average Shares,,,,,,229.0,229.0,228.0,228.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,0.64,0.2,0.43,0.11,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,0.64,0.2,0.43,0.11,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,,,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,,,27.0,25.0,24.0,18.0,Income Statement
Total Special Items,,,,,,49.0,34.0,27.0,34.0,Income Statement
Normalzd Income Before Tax,,,,,,246.0,110.0,150.0,84.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,13.0,13.0,6.0,18.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,65.0,44.0,31.0,44.0,Income Statement
Normalized Income After Tax,,,,,,182.0,66.0,119.0,40.0,Income Statement
Normalzd Inc Avail to Common,,,,,,182.0,66.0,119.0,40.0,Income Statement
Basic Normalized EPS,,,,,,0.81,0.29,0.53,0.18,Income Statement
Diluted Normalized EPS,,,,,,0.79,0.29,0.52,0.18,Income Statement
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,250.0,46.0,143.0,167.0,Cash Flow
Depreciation/Depletion,,,,,,172.0,41.0,80.0,114.0,Cash Flow
Deferred Taxes,,,,,,-56.0,-12.0,-39.0,-46.0,Cash Flow
Unusual Items,,,,,,28.0,8.0,53.0,83.0,Cash Flow
Equity in Net Earnings/Loss,,,,,,-20.0,-13.0,-22.0,-31.0,Cash Flow
Other Non-Cash Items,,,,,,211.0,59.0,77.0,119.0,Cash Flow
Non-Cash Items,,,,,,220.0,55.0,108.0,171.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,,47.0,13.0,147.0,198.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,,166.0,29.0,53.0,116.0,Cash Flow
Accounts Receivable,,,,,,-213.0,16.0,-160.0,-188.0,Cash Flow
Prepaid Expenses,,,,,,-105.0,-78.0,-147.0,-90.0,Cash Flow
Other Assets,,,,,,-64.0,-98.0,-95.0,-124.0,Cash Flow
