,CWK
Price/Earnings (TTM),8.29818
Price/Sales (TTM),0.24775
Price/Book (MRQ),1.62441
Price/Cash Flow (TTM),5.44715
5yr Low,6.84
5yr High,23.54
5yr Avg Return,-0.007159999999999996
EPS Growth 5yr,
Revenue Growth 5yr,0.08598309999999999
Dividend Growth 5yr,
Short Int Current Month,7608289.0
Short Int Prev Month,6628299.0
Short Int Pct of Float,0.046687900000000004
Days to Cover,3.81382
Float,162.9711
Shares Outstanding,225.7567
Institutions Holding Shares,247.0
% Held by Institutions,0.849366
FCF Growth 5yr,-0.3096890676069046
