,CWK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",8.3,-128.31,Valuation,-0.06468708596368171
Price/Sales (TTM),0.25,1.78,Valuation,0.1404494382022472
Price/Book (MRQ),1.62,2.29,Valuation,0.7074235807860262
"PEG Ratio (TTM, GAAP)",,-1.83,Valuation,
Gross Profit Margin (TTM),0.20550000000000002,0.2696,Profitability,0.762240356083086
Operating Profit Margin (TTM),0.0651,-0.2328,Profitability,-0.27963917525773196
Net Profit Margin (TTM),0.0302,-0.1213,Profitability,-0.24896949711459193
Annual Dividend Yield,,0.0044,Dividend,
Dividend Change %,,0.0943,Dividend,
"Dividend Growth Rate, 3 Years",,-0.0072,Dividend,
EPS Growth (MRQ),-0.7536,1.0171,Gowth rates,-0.7409300953691871
EPS Growth (TTM),3.0827999999999998,0.7006,Gowth rates,4.40022837567799
Revenue Growth (MRQ),-0.0373,0.16149999999999998,Gowth rates,-0.23095975232198146
Revenue Growth (TTM),0.1782,0.44439999999999996,Gowth rates,0.400990099009901
Return On Equity (TTM),0.22210000000000002,0.0932,Effectiveness,2.3830472103004294
Return On Assets (TTM),0.0414,0.0415,Effectiveness,0.9975903614457831
Return On Investment (TTM),0.0582,0.0722,Effectiveness,0.8060941828254848
Revenue Per Employee (TTM),206848.0,1051798.0,Effectiveness,0.19666133611206715
Total Debt/Total Capital (MRQ),0.6737000000000001,0.5311,Financial strength,1.2684993409903973
Change in Debt/Total Capital Quarter over Quarter,-0.0002,-0.0005,Financial strength,0.4
Quick Ratio (MRQ),,0.08,Financial strength,
Interest Coverage (MRQ),4.8,3.44,Financial strength,1.3953488372093024
