,CWK
% Above Low,0.1305
% Held by Institutions,0.8493999999999999
52-Wk Range,['10.04 - 23.54']
Annual Dividend $,
Annual Dividend %,
Ask,18.2
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,1.4
Bid,4.0
Bid Size,100.0
Closing Price,11.35
Day Change $,0.12
Day Change %,0.010700000000000001
Day High,11.39
Day Low,11.13
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.37
Ex-dividend Date,No dividend
Historical Volatility,0.41700000000000004
Last (size),75.0
Last (time),5:00p ET 11/25/22
Market Cap,2.6B
"P/E Ratio (TTM, GAAP)",8.3
Prev Close,11.23
Short Interest,0.0467
Today's Open,11.17
Volume,322632.0
Volume 10-day Avg,1262657.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.22435897435897423
Growth 1yr High Est,0.3151515151515152
Growth 1yr Consensus Est,0.2697552447552447
Growth 2yr Low Est,0.041498858907235814
Growth 2yr High Est,0.15296746264488204
Growth 2yr Consensus Est,0.09723316077605892
Growth 5yr Low Est,0.020749429453617907
Growth 5yr High Est,0.07648373132244102
Growth 5yr Consensus Est,0.04861658038802946
Growth 5yr Actual/Est,0.23827802136980797
Growth 3yr Historic,0.2531052393857272
Price/Earnings (TTM),8.29818
Price/Sales (TTM),0.24775
Price/Book (MRQ),1.62441
Price/Cash Flow (TTM),5.44715
5yr Low,6.84
5yr High,23.54
5yr Avg Return,-0.007159999999999996
EPS Growth 5yr,
Revenue Growth 5yr,0.08598309999999999
Dividend Growth 5yr,
Short Int Current Month,7608289.0
Short Int Prev Month,6628299.0
Short Int Pct of Float,0.046687900000000004
Days to Cover,3.81382
Float,162.9711
Shares Outstanding,225.7567
Institutions Holding Shares,247.0
FCF Growth 5yr,-0.3096890676069046
"Price/Earnings (TTM, GAAP)",8.3
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.20550000000000002
Operating Profit Margin (TTM),0.0651
Net Profit Margin (TTM),0.0302
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7536
EPS Growth (TTM),3.0827999999999998
Revenue Growth (MRQ),-0.0373
Revenue Growth (TTM),0.1782
Return On Equity (TTM),0.22210000000000002
Return On Assets (TTM),0.0414
Return On Investment (TTM),0.0582
Revenue Per Employee (TTM),206848.0
Total Debt/Total Capital (MRQ),0.6737000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.8
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2021-08-23 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2021-08-23 00:00:00
marketEdge opinion since,
