,SJI
% Below High,0.0102
% Held by Institutions,0.8548
52-Wk Range,['23.14 - 35.32']
Annual Dividend $,1.24
Annual Dividend %,0.0353
Ask,34.97
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,0.6
Bid,34.95
Bid Size,500.0
Day Change $,-0.14
Day Change %,-0.004
Day High,35.16
Day Low,34.96
Dividend Pay Date,2022-12-27 00:00:00
"EPS (TTM, GAAP)",1.35
Ex-dividend,2022-12-16 00:00:00
Ex-dividend Date,12/16/22
Historical Volatility,0.36
Last (size),30.0
Last (time),2:24p ET 11/28/22
Market Cap,4.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",26.09
Prev Close,35.1
Price,34.96
Short Interest,0.0356
Today's Open,35.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.031249999999999778
Growth 1yr High Est,0.11515151515151523
Growth 1yr Consensus Est,0.0732007575757575
Growth 2yr Low Est,0.030776515151515027
Growth 2yr High Est,0.08474967061923588
Growth 2yr Consensus Est,0.057763092885375455
Growth 5yr Low Est,0.13575862794612786
Growth 5yr High Est,0.15107048748353097
Growth 5yr Consensus Est,0.14341455771482942
Growth 5yr Actual/Est,0.14458492268569784
Growth 3yr Historic,0.11607142857142855
Price/Earnings (TTM),26.09316
Price/Sales (TTM),1.66302
Price/Book (MRQ),2.09463
Price/Cash Flow (TTM),13.97332
5yr Low,18.24
5yr High,36.72
5yr Avg Return,0.03665000000000001
EPS Growth 5yr,-0.12478910000000001
Revenue Growth 5yr,0.1395774
Dividend Growth 5yr,0.027795200000000003
Short Int Current Month,4335081.0
Short Int Prev Month,5412474.0
Short Int Pct of Float,0.0355881
Days to Cover,4.91404
Float,121.8151
Shares Outstanding,122.4648
Institutions Holding Shares,378.0
FCF Growth 5yr,-1.5920874791842532
"Price/Earnings (TTM, GAAP)",26.09
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1317
Net Profit Margin (TTM),0.064
Annual Dividend Yield,0.0353
Dividend Change %,0.025400000000000002
"Dividend Growth Rate, 3 Years",0.026099999999999998
EPS Growth (MRQ),-1.0212
EPS Growth (TTM),0.5925
Revenue Growth (MRQ),0.1898
Revenue Growth (TTM),0.4067
Return On Equity (TTM),0.0797
Return On Assets (TTM),0.0221
Return On Investment (TTM),0.025400000000000002
Revenue Per Employee (TTM),2203550.0
Total Debt/Total Capital (MRQ),0.6481
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),0.59
Interest Coverage (MRQ),0.36
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2021-08-06 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
