,MSCI
% Above Low,0.36090000000000005
% Held by Institutions,0.91
52-Wk Range,['376.41 - 649.89']
Annual Dividend $,5.0
Annual Dividend %,0.0098
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.1
Bid,400.0
Bid Size,
Change Since Close,-3.51| |(-0.69%)
Closing Price,512.26
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",10.36
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.39799999999999996
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,508.75
Market Cap,41.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",49.43
Prev Close,512.26
Short Interest,0.009000000000000001
Today's Open,
Volume,1.0
Volume 10-day Avg,377207.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.1630094043887147
Growth 1yr High Est,0.14914914914914923
Growth 1yr Consensus Est,0.15607927676893196
Growth 2yr Low Est,0.11968978754925397
Growth 2yr High Est,0.1490519264909509
Growth 2yr Consensus Est,0.13437085702010243
Growth 5yr Low Est,0.17856322927527724
Growth 5yr High Est,0.18976861533023281
Growth 5yr Consensus Est,0.18416592230275503
Growth 5yr Actual/Est,0.18501178191712953
Growth 3yr Historic,0.12164800536239812
Price/Earnings (TTM),49.42648
Price/Sales (TTM),18.43164
Price/Book (MRQ),
Price/Cash Flow (TTM),42.39578
5yr Low,124.08
5yr High,679.85
5yr Avg Return,0.30425
EPS Growth 5yr,0.2633726
Revenue Growth 5yr,0.1217258
Dividend Growth 5yr,0.2948524
Short Int Current Month,700060.0
Short Int Prev Month,639967.0
Short Int Pct of Float,0.0090344
Days to Cover,1.63599
Float,77.49794
Shares Outstanding,79.95817
Institutions Holding Shares,1139.0
FCF Growth 5yr,0.2765390954306175
"Price/Earnings (TTM, GAAP)",49.43
"PEG Ratio (TTM, GAAP)",3.78
Gross Profit Margin (TTM),0.821
Operating Profit Margin (TTM),0.5406000000000001
Net Profit Margin (TTM),0.3823
Annual Dividend Yield,0.0098
Dividend Change %,0.2466
"Dividend Growth Rate, 3 Years",0.2377
EPS Growth (MRQ),0.0339
EPS Growth (TTM),0.25739999999999996
Revenue Growth (MRQ),0.016
Revenue Growth (TTM),0.147
Return On Equity (TTM),
Return On Assets (TTM),0.17129999999999998
Return On Investment (TTM),0.2168
Revenue Per Employee (TTM),516438.0
Total Debt/Total Capital (MRQ),1.3136
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),7.72
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-01-27 00:00:00
theStreet since,2019-09-10 00:00:00
cfra since,2022-01-27 00:00:00
ford since,2022-03-25 00:00:00
marketEdge opinion since,
