,MSCI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",49.43,20.51,Valuation,2.410043881033642
Price/Sales (TTM),18.43,12.46,Valuation,1.4791332263242374
Price/Book (MRQ),,4.63,Valuation,
"PEG Ratio (TTM, GAAP)",3.78,2.67,Valuation,1.4157303370786516
Gross Profit Margin (TTM),0.821,0.5835,Profitability,1.407026563838903
Operating Profit Margin (TTM),0.5406000000000001,0.269,Profitability,2.009665427509294
Net Profit Margin (TTM),0.3823,0.1791,Profitability,2.1345616973757675
Annual Dividend Yield,0.0098,0.0257,Dividend,0.38132295719844356
Dividend Change %,0.2466,0.2049,Dividend,1.2035139092240117
"Dividend Growth Rate, 3 Years",0.2377,0.1213,Dividend,1.9596042868920032
EPS Growth (MRQ),0.0339,-0.2356,Gowth rates,-0.14388794567062818
EPS Growth (TTM),0.25739999999999996,-0.0768,Gowth rates,-3.3515625
Revenue Growth (MRQ),0.016,0.0931,Gowth rates,0.17185821697099893
Revenue Growth (TTM),0.147,0.0447,Gowth rates,3.2885906040268456
Return On Equity (TTM),,0.1783,Effectiveness,
Return On Assets (TTM),0.17129999999999998,0.0492,Effectiveness,3.4817073170731705
Return On Investment (TTM),0.2168,0.1008,Effectiveness,2.1507936507936507
Revenue Per Employee (TTM),516438.0,1125238.0,Effectiveness,0.4589589046939403
Total Debt/Total Capital (MRQ),1.3136,0.5241,Financial strength,2.506391909940851
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001,0.0008,Financial strength,2.125
Quick Ratio (MRQ),,0.0,Financial strength,
Interest Coverage (MRQ),7.72,21.92,Financial strength,0.3521897810218978
