,TOST,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,53.12,Valuation,
Price/Sales (TTM),3.96,19.35,Valuation,0.20465116279069764
Price/Book (MRQ),8.72,19.03,Valuation,0.45822385706778773
"PEG Ratio (TTM, GAAP)",,3.41,Valuation,
Gross Profit Margin (TTM),0.1732,0.44520000000000004,Profitability,0.38903863432165314
Operating Profit Margin (TTM),-0.16260000000000002,0.3027,Profitability,-0.537165510406343
Net Profit Margin (TTM),-0.0706,0.23600000000000002,Profitability,-0.2991525423728813
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),-0.8001,-3.5570999999999997,Gowth rates,0.22493042084844397
EPS Growth (TTM),,0.15560000000000002,Gowth rates,
Revenue Growth (MRQ),0.11410000000000001,0.16460000000000002,Gowth rates,0.6931956257594167
Revenue Growth (TTM),,0.2273,Gowth rates,
Return On Equity (TTM),-0.1643,0.5459,Effectiveness,-0.30097087378640774
Return On Assets (TTM),-0.10289999999999999,0.1131,Effectiveness,-0.909814323607427
Return On Investment (TTM),-0.1317,0.189,Effectiveness,-0.6968253968253969
Revenue Per Employee (TTM),780855.0,686063.0,Effectiveness,1.1381680691131864
Total Debt/Total Capital (MRQ),0.0,0.5613,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01,0.0048,Financial strength,-2.0833333333333335
Quick Ratio (MRQ),2.86,0.16,Financial strength,17.875
Interest Coverage (MRQ),,27.21,Financial strength,
