,TOST
% Above Low,0.5113000000000001
% Held by Institutions,0.7829999999999999
52-Wk Range,['11.91 - 44.34']
Annual Dividend $,
Annual Dividend %,
Ask,18.07
Ask Size,18800.0
B/A Ratio,0.09574468085106383
B/A Size,1800x18800
Beta,
Bid,17.98
Bid Size,1800.0
Change Since Close,0.07| |(0.39%)
Closing Price,18.0
Day Change $,-0.82
Day Change %,-0.0436
Day High,19.03
Day Low,17.98
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.34
Ex-dividend Date,No dividend
Historical Volatility,0.8300000000000001
Last (size),6.0
Last (time),4:10p ET 11/28/22
Last Trade,18.07
Market Cap,9.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,18.82
Short Interest,0.0493
Today's Open,18.55
Volume,3739130.0
Volume 10-day Avg,7689001.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.5
Growth 2yr High Est,-1.35
Growth 2yr Consensus Est,-0.925
Growth 5yr Low Est,-0.5
Growth 5yr High Est,-1.35
Growth 5yr Consensus Est,-0.925
Growth 5yr Actual/Est,-0.35333333333333333
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),3.95672
Price/Book (MRQ),8.72095
Price/Cash Flow (TTM),
5yr Low,11.91
5yr High,69.93
5yr Avg Return,-0.47615
Short Int Current Month,15234627.0
Short Int Prev Month,16127715.0
Short Int Pct of Float,0.0493314
Days to Cover,1.59844
Float,312.8288
Shares Outstanding,520.738
Institutions Holding Shares,340.0
FCF Growth 5yr,1.1803921568627451
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1732
Operating Profit Margin (TTM),-0.16260000000000002
Net Profit Margin (TTM),-0.0706
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.8001
EPS Growth (TTM),
Revenue Growth (MRQ),0.11410000000000001
Revenue Growth (TTM),
Return On Equity (TTM),-0.1643
Return On Assets (TTM),-0.10289999999999999
Return On Investment (TTM),-0.1317
Revenue Per Employee (TTM),780855.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),2.86
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
theStreet since,2022-11-11 00:00:00
ford since,2022-07-29 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
