,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,69.93,35.55,,,,,
low,30.69,11.91,,,,,
change,-0.4681,-0.4842,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,809.0,757.0,697.0,644.0,Balance Sheet
Short Term Investments,,,457.0,453.0,482.0,409.0,Balance Sheet
Cash and Short Term Invs,,,1266.0,1210.0,1179.0,1053.0,Balance Sheet
"Trade Accts Recvble, Gross",,,59.0,60.0,105.0,86.0,Balance Sheet
Prov. for Doubtful Accts,,,-4.0,-4.0,-37.0,-8.0,Balance Sheet
"Total Receivables, Net",,,55.0,56.0,68.0,78.0,Balance Sheet
Invent. - Finished Goods,,,,44.0,,,Balance Sheet
Inventories - Other,,,,0.0,,,Balance Sheet
Total Inventory,,,42.0,44.0,62.0,95.0,Balance Sheet
Prepaid Expenses,,,92.0,135.0,141.0,102.0,Balance Sheet
"Other Curr. Assets, Total",,,30.0,32.0,36.0,74.0,Balance Sheet
Total Current Assets,,,1485.0,1477.0,1486.0,1402.0,Balance Sheet
Prop./Plant/Equip. - Net,,,120.0,121.0,119.0,128.0,Balance Sheet
"Goodwill, Net",,,74.0,74.0,74.0,107.0,Balance Sheet
Intangibles - Net,,,16.0,15.0,13.0,31.0,Balance Sheet
Deferred Charges,,,25.0,30.0,34.0,36.0,Balance Sheet
Restricted Cash - LT,,,8.0,,,,Balance Sheet
Other Long Term Assets,,,7.0,17.0,24.0,37.0,Balance Sheet
Total Assets,,,1735.0,1734.0,1750.0,1741.0,Balance Sheet
Accounts Payable,,,40.0,29.0,37.0,28.0,Balance Sheet
Accrued Expenses,,,206.0,239.0,266.0,286.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,44.0,42.0,43.0,40.0,Balance Sheet
Other Current Liabilities,,,62.0,94.0,111.0,103.0,Balance Sheet
"Other Curr. Lblts, Total",,,106.0,136.0,154.0,143.0,Balance Sheet
Total Current Liabilities,,,352.0,404.0,457.0,457.0,Balance Sheet
Total Long Term Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,292.0,187.0,143.0,165.0,Balance Sheet
Total Liabilities,,,644.0,591.0,600.0,622.0,Balance Sheet
Redeemable Preferred Stock,,,,0.0,0.0,0.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,2194.0,2271.0,2334.0,2400.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-1102.0,-1125.0,-1179.0,-1277.0,Balance Sheet
Treasury Stock - Common,,,0.0,0.0,,0.0,Balance Sheet
Cum. Trans. Adjustment,,,-1.0,-3.0,-5.0,-4.0,Balance Sheet
Other Equity,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Equity, Total",,,-1.0,-3.0,-5.0,-4.0,Balance Sheet
Total Equity,,,1091.0,1143.0,1150.0,1119.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,1735.0,1734.0,1750.0,1741.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,168.0,258.0,305.0,332.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,339.0,253.0,208.0,186.0,Balance Sheet
Ttl Comm. Shares Outs.,,,507.0,510.0,513.0,519.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
