,REAL
% Above Low,0.26530000000000004
% Held by Institutions,0.6988
52-Wk Range,['1.15 - 16.37']
Annual Dividend $,
Annual Dividend %,
Ask,1.45
Ask Size,5500.0
B/A Ratio,0.509090909090909
B/A Size,2800x5500
Beta,2.3
Bid,1.45
Bid Size,2800.0
Day Change $,-0.0549
Day Change %,-0.0364
Day High,1.55
Day Low,1.43
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.23
Ex-dividend Date,No dividend
Historical Volatility,1.212
Last (size),100.0
Last (time),12:29p ET 11/28/22
Market Cap,143.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.51
Price,1.46
Short Interest,0.1424
Today's Open,1.48
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.18951612903225812
Growth 1yr High Est,0.2682926829268293
Growth 1yr Consensus Est,0.03938827694728558
Growth 2yr Low Est,-0.09973318889423849
Growth 2yr High Est,-0.08059724828017512
Growth 2yr Consensus Est,-0.0901652185872068
Growth 5yr Low Est,0.05943713332976693
Growth 5yr High Est,-0.1242443193662706
Growth 5yr Consensus Est,-0.03240359301825183
Growth 5yr Actual/Est,-0.08008889505966812
Growth 3yr Historic,0.011277218069548262
Price/Earnings (TTM),
Price/Sales (TTM),0.25142
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,1.15
5yr High,30.22
5yr Avg Return,-0.401075
Short Int Current Month,13352288.0
Short Int Prev Month,13698602.0
Short Int Pct of Float,0.1424058
Days to Cover,3.00665
Float,94.74643
Shares Outstanding,98.06578
Institutions Holding Shares,221.0
FCF Growth 5yr,0.09108897037473347
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5649000000000001
Operating Profit Margin (TTM),-0.33520000000000005
Net Profit Margin (TTM),-0.3566
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1276
EPS Growth (TTM),0.1434
Revenue Growth (MRQ),-0.076
Revenue Growth (TTM),0.44060000000000005
Return On Equity (TTM),
Return On Assets (TTM),-0.2988
Return On Investment (TTM),-0.40280000000000005
Revenue Per Employee (TTM),175548.0
Total Debt/Total Capital (MRQ),1.4591
Change in Debt/Total Capital Quarter over Quarter,0.0059
Quick Ratio (MRQ),1.73
Interest Coverage (MRQ),-26.85
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2020-08-10 00:00:00
theStreet since,2020-08-10 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2021-07-16 00:00:00
cfra since,
marketEdge opinion since,
