,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,30.05,22.03,30.22,12.91,,,,,
low,12.58,5.0,9.75,1.15,,,,,
change,-0.3268,0.024100000000000003,-0.423,-0.8786,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash,,,,,279.0,262.0,246.0,283.0,Balance Sheet
Cash & Equivalents,,,,,139.0,99.0,69.0,18.0,Balance Sheet
Short Term Investments,,,,,0.0,,,,Balance Sheet
Cash and Short Term Invs,,,,,418.0,361.0,316.0,300.0,Balance Sheet
"Total Receivables, Net",,,,,8.0,8.0,6.0,9.0,Balance Sheet
Total Inventory,,,,,71.0,74.0,74.0,63.0,Balance Sheet
Prepaid Expenses,,,,,21.0,21.0,21.0,27.0,Balance Sheet
Total Current Assets,,,,,518.0,464.0,417.0,399.0,Balance Sheet
Buildings,,,,,66.0,63.0,65.0,72.0,Balance Sheet
Machinery/Equipment,,,,,33.0,36.0,38.0,39.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,185.0,184.0,180.0,180.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,285.0,282.0,284.0,291.0,Balance Sheet
Accumulated Depreciation,,,,,-50.0,-51.0,-55.0,-59.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,235.0,231.0,229.0,232.0,Balance Sheet
Other Long Term Assets,,,,,3.0,3.0,3.0,3.0,Balance Sheet
Total Assets,,,,,755.0,698.0,648.0,634.0,Balance Sheet
Accounts Payable,,,,,5.0,6.0,8.0,10.0,Balance Sheet
Accrued Expenses,,,,,180.0,163.0,154.0,172.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,,3.0,3.0,4.0,4.0,Balance Sheet
Other Current Liabilities,,,,,,7.0,6.0,8.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,3.0,11.0,10.0,12.0,Balance Sheet
Total Current Liabilities,,,,,188.0,180.0,172.0,194.0,Balance Sheet
Total Long Term Debt,,,,,348.0,448.0,448.0,449.0,Balance Sheet
Total Debt,,,,,348.0,448.0,448.0,449.0,Balance Sheet
"Other Liabilities, Total",,,,,145.0,140.0,135.0,133.0,Balance Sheet
Total Liabilities,,,,,682.0,768.0,756.0,776.0,Balance Sheet
Common Stock,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,841.0,743.0,758.0,771.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,-768.0,-812.0,-865.0,-913.0,Balance Sheet
"Other Equity, Total",,,,,0.0,,,,Balance Sheet
Total Equity,,,,,73.0,-69.0,-107.0,-141.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,755.0,698.0,648.0,634.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,93.0,94.0,96.0,98.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,145125.0,146700.0,154435.0,142703.0,Income Statement
"Cost of Revenue, Total",,,,,64498.0,68083.0,66748.0,56926.0,Income Statement
Selling/Gen/Admin Expense,,,,,112730.0,120810.0,125005.0,120312.0,Income Statement
Labor & Related Expense,,,,,12478.0,12514.0,13665.0,10841.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,125208.0,133324.0,138670.0,131153.0,Income Statement
Unusual Expense (Income),,,,,1601.0,,0.0,152.0,Income Statement
Total Operating Expense,,,,,191307.0,201407.0,205418.0,188231.0,Income Statement
Total Operating Income,,,,,-46182.0,-54707.0,-50983.0,-45528.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,-6157.0,-2664.0,-2675.0,-2675.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,116.0,98.0,260.0,1002.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,1.0,-139.0,266.0,6.0,Income Statement
"Other, Net",,,,,1.0,-139.0,266.0,6.0,Income Statement
Income Before Tax,,,,,-52222.0,-57412.0,-53132.0,-47195.0,Income Statement
Income Tax - Total,,,,,-27.0,0.0,33.0,63.0,Income Statement
Income After Tax,,,,,-52195.0,-57412.0,-53165.0,-47258.0,Income Statement
Net Inc Before Extra Items,,,,,-52195.0,-57412.0,-53165.0,-47258.0,Income Statement
Total Net Income,,,,,-52195.0,-57412.0,-53165.0,-47258.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,-52195.0,-57412.0,-53165.0,-47258.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,-52195.0,-57412.0,-53165.0,-47258.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,92653.0,93476.0,94902.0,96696.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,-0.56,-0.61,-0.56,-0.49,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,-0.56,-0.61,-0.56,-0.49,Income Statement
Diluted Weighted Average Shares,,,,,92653.0,93476.0,94902.0,96696.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,-0.56,-0.61,-0.56,-0.49,Income Statement
Diluted EPS Incl. Extra. Items,,,,,-0.56,-0.61,-0.56,-0.49,Income Statement
Div/Share-ComStockPrimIssue,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,6157.0,2664.0,2675.0,2675.0,Income Statement
"Depreciat/Amort, Suppl",,,,,5700.0,6364.0,6700.0,7195.0,Income Statement
Total Special Items,,,,,1601.0,304.0,1468.0,604.0,Income Statement
Normalzd Income Before Tax,,,,,-50621.0,-57108.0,-51664.0,-46591.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,560.0,0.0,514.0,211.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,533.0,0.0,547.0,274.0,Income Statement
Normalized Income After Tax,,,,,-51154.0,-57108.0,-52211.0,-46865.0,Income Statement
Normalzd Inc Avail to Common,,,,,-51154.0,-57108.0,-52211.0,-46865.0,Income Statement
Basic Normalized EPS,,,,,-0.55,-0.61,-0.55,-0.48,Income Statement
Diluted Normalized EPS,,,,,-0.55,-0.61,-0.55,-0.48,Income Statement
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,-236107.0,-57412.0,-110577.0,-157835.0,Cash Flow
Depreciation/Depletion,,,,,23531.0,6364.0,13060.0,20255.0,Cash Flow
Unusual Items,,,,,546.0,175.0,229.0,432.0,Cash Flow
Other Non-Cash Items,,,,,84224.0,18720.0,37821.0,55268.0,Cash Flow
Non-Cash Items,,,,,84770.0,18895.0,38050.0,55700.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,94.0,3.0,256.0,256.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,6584.0,1448.0,4045.0,5496.0,Cash Flow
Accounts Receivable,,,,,-1588.0,-602.0,723.0,-2119.0,Cash Flow
Inventories,,,,,-28694.0,-2683.0,-3015.0,8041.0,Cash Flow
Prepaid Expenses,,,,,-4009.0,-426.0,238.0,-6543.0,Cash Flow
Other Assets,,,,,-638.0,-779.0,-351.0,-391.0,Cash Flow
Accounts Payable,,,,,-9989.0,2030.0,3567.0,4067.0,Cash Flow
Accrued Expenses,,,,,29626.0,-14671.0,-29415.0,-16839.0,Cash Flow
Changes in Working Capital,,,,,-14345.0,-17201.0,-28437.0,-13375.0,Cash Flow
Total Cash from Operations,,,,,-142151.0,-49354.0,-87904.0,-95255.0,Cash Flow
Purchase of Fixed Assets,,,,,-37470.0,-5143.0,-9599.0,-16408.0,Cash Flow
Software Development Costs,,,,,-9967.0,-3304.0,-6620.0,-9847.0,Cash Flow
Capital Expenditures,,,,,-47437.0,-8447.0,-16219.0,-26255.0,Cash Flow
Sale/Maturity of Investment,,,,,4000.0,0.0,0.0,0.0,Cash Flow
Purchase of Investments,,,,,0.0,,,,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,4000.0,0.0,0.0,0.0,Cash Flow
Total Cash from Investing,,,,,-43437.0,-8447.0,-16219.0,-26255.0,Cash Flow
Financing Cash Flow Items,,,,,-33671.0,0.0,-23.0,-28.0,Cash Flow
"Common Stock, Net",,,,,2341.0,,900.0,900.0,Cash Flow
"Preferred Stock, Net",,,,,0.0,,,,Cash Flow
Options Exercised,,,,,6009.0,637.0,965.0,2906.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,8350.0,637.0,1865.0,3806.0,Cash Flow
Long Term Debt Issued,,,,,278234.0,0.0,0.0,0.0,Cash Flow
Long Term Debt Reduction,,,,,0.0,,0.0,0.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,278234.0,0.0,0.0,0.0,Cash Flow
