,SPB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.47,Valuation,
Price/Sales (TTM),0.65,3.88,Valuation,0.1675257731958763
Price/Book (MRQ),1.61,30.23,Valuation,0.05325835262983791
"PEG Ratio (TTM, GAAP)",,10.48,Valuation,
Gross Profit Margin (TTM),0.3166,0.4571,Profitability,0.6926274338219208
Operating Profit Margin (TTM),0.0074,0.1941,Profitability,0.0381246780010304
Net Profit Margin (TTM),-0.0246,0.15480000000000002,Profitability,-0.15891472868217052
Annual Dividend Yield,0.0337,0.0255,Dividend,1.3215686274509806
Dividend Change %,0.0,0.0727,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.05740000000000001,Dividend,0.0
EPS Growth (MRQ),-9.2598,-0.05480000000000001,Gowth rates,168.97445255474452
EPS Growth (TTM),0.34500000000000003,-0.0253,Gowth rates,-13.636363636363638
Revenue Growth (MRQ),-0.0837,0.022000000000000002,Gowth rates,-3.8045454545454542
Revenue Growth (TTM),0.7589,0.0414,Gowth rates,18.330917874396135
Return On Equity (TTM),-0.0565,1.0171,Effectiveness,-0.055550093402811924
Return On Assets (TTM),-0.0139,0.1167,Effectiveness,-0.11910882604970008
Return On Investment (TTM),-0.0176,0.171,Effectiveness,-0.10292397660818713
Revenue Per Employee (TTM),284773.0,708841.0,Effectiveness,0.40174453791470865
Total Debt/Total Capital (MRQ),0.7133,0.5498,Financial strength,1.2973808657693708
Change in Debt/Total Capital Quarter over Quarter,0.0009,0.0005,Financial strength,1.7999999999999998
Quick Ratio (MRQ),2.07,0.49,Financial strength,4.224489795918367
Interest Coverage (MRQ),0.61,46.23,Financial strength,0.013194895089768548
