,VERI
% Above Low,0.2379
% Held by Institutions,0.45740000000000003
52-Wk Range,['4.63 - 27.17']
Annual Dividend $,
Annual Dividend %,
Ask,5.79
Ask Size,200.0
B/A Ratio,17.5
B/A Size,3500x200
Beta,2.9
Bid,5.73
Bid Size,3500.0
Closing Price,5.73
Day Change $,-0.17
Day Change %,-0.0288
Day High,5.99
Day Low,5.7
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.3
Ex-dividend Date,No dividend
Historical Volatility,0.8540000000000001
Last (size),5.0
Last (time),3:59p ET 11/28/22
Market Cap,207.9M
"P/E Ratio (TTM, GAAP)",
Prev Close,5.9
Short Interest,0.1603
Today's Open,5.88
Volume,256026.0
Volume 10-day Avg,277552.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.4545454545454546
Growth 1yr High Est,-0.52
Growth 1yr Consensus Est,-0.4872727272727273
Growth 2yr Low Est,-0.5010822510822511
Growth 2yr High Est,-0.9127777777777778
Growth 2yr Consensus Est,-0.7069300144300145
Growth 5yr Low Est,-0.3892694492405475
Growth 5yr High Est,-0.5973772609819121
Growth 5yr Consensus Est,-0.4933233551112298
Growth 5yr Actual/Est,-1.5177052440531358
Growth 3yr Historic,-0.44038152610441766
"Price/Earnings (TTM, GAAP)",
Price/Sales (TTM),1.33
Price/Book (MRQ),3.03
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8323
Operating Profit Margin (TTM),-0.2552
Net Profit Margin (TTM),-0.2866
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.49710000000000004
EPS Growth (TTM),0.3826
Revenue Growth (MRQ),0.08650000000000001
Revenue Growth (TTM),1.0914
Return On Equity (TTM),-0.5171
Return On Assets (TTM),-0.1213
Return On Investment (TTM),-0.2295
Revenue Per Employee (TTM),294848.0
Total Debt/Total Capital (MRQ),0.7347
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),-1.84
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2018-09-04 00:00:00
theStreet since,2018-09-04 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-16 00:00:00
cfra since,
marketEdge opinion since,
