,VERI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),1.33,9.39,Valuation,0.14164004259850904
Price/Book (MRQ),3.03,12.63,Valuation,0.2399049881235154
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.8323,0.7206,Profitability,1.1550097141271163
Operating Profit Margin (TTM),-0.2552,0.2172,Profitability,-1.174953959484346
Net Profit Margin (TTM),-0.2866,0.1553,Profitability,-1.8454603992273022
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.49710000000000004,-0.0752,Gowth rates,6.610372340425532
EPS Growth (TTM),0.3826,-0.2824,Gowth rates,-1.3548158640226629
Revenue Growth (MRQ),0.08650000000000001,0.15560000000000002,Gowth rates,0.5559125964010283
Revenue Growth (TTM),1.0914,0.1906,Gowth rates,5.726128016789087
Return On Equity (TTM),-0.5171,0.2189,Effectiveness,-2.362265874828689
Return On Assets (TTM),-0.1213,0.10740000000000001,Effectiveness,-1.1294227188081936
Return On Investment (TTM),-0.2295,0.1387,Effectiveness,-1.6546503244412403
Revenue Per Employee (TTM),294848.0,667721.0,Effectiveness,0.4415736512705157
Total Debt/Total Capital (MRQ),0.7347,0.39659999999999995,Financial strength,1.8524962178517401
Change in Debt/Total Capital Quarter over Quarter,,0.0004,Financial strength,
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-1.84,0.28,Financial strength,-6.571428571428571
