,ULCC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,-34.24,Valuation,
Price/Sales (TTM),0.97,0.63,Valuation,1.5396825396825395
Price/Book (MRQ),6.26,2.71,Valuation,2.309963099630996
"PEG Ratio (TTM, GAAP)",,-0.02,Valuation,
Gross Profit Margin (TTM),0.4804,0.5245000000000001,Profitability,0.9159199237368921
Operating Profit Margin (TTM),-0.0581,0.029500000000000002,Profitability,-1.9694915254237286
Net Profit Margin (TTM),-0.0429,0.003,Profitability,-14.3
Annual Dividend Yield,,,Dividend,
Dividend Change %,,-0.2447,Dividend,
"Dividend Growth Rate, 3 Years",,,Dividend,
EPS Growth (MRQ),1.3744,0.541,Gowth rates,2.5404805914972273
EPS Growth (TTM),0.3025,16.999000000000002,Gowth rates,0.01779516442143655
Revenue Growth (MRQ),-0.0033000000000000004,0.46299999999999997,Gowth rates,-0.007127429805615552
Revenue Growth (TTM),0.7631,0.8456999999999999,Gowth rates,0.9023294312403927
Return On Equity (TTM),-0.249,-0.010900000000000002,Effectiveness,22.844036697247702
Return On Assets (TTM),-0.030600000000000002,-0.002,Effectiveness,15.3
Return On Investment (TTM),-0.044800000000000006,-0.0021,Effectiveness,21.33333333333334
Revenue Per Employee (TTM),550527.0,453436.0,Effectiveness,1.2141228310059193
Total Debt/Total Capital (MRQ),0.4736,0.6829000000000001,Financial strength,0.6935129594376922
Change in Debt/Total Capital Quarter over Quarter,0.0016,-0.0014000000000000002,Financial strength,-1.1428571428571428
Quick Ratio (MRQ),,0.87,Financial strength,
Interest Coverage (MRQ),,23.47,Financial strength,
