,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,22.7,15.25,,,,,
low,12.62,8.19,,,,,
change,-0.2708,-0.0605,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,918.0,727.0,766.0,674.0,Balance Sheet
"Trade Accts Recvble, Net",,,50.0,60.0,63.0,65.0,Balance Sheet
Other Receivables,,,32.0,44.0,57.0,62.0,Balance Sheet
"Total Receivables, Net",,,82.0,104.0,120.0,127.0,Balance Sheet
Prepaid Expenses,,,14.0,23.0,22.0,25.0,Balance Sheet
"Other Curr. Assets, Total",,,23.0,22.0,46.0,66.0,Balance Sheet
Total Current Assets,,,1037.0,876.0,954.0,892.0,Balance Sheet
Prop./Plant/Equip. - Net,,,2612.0,2594.0,2591.0,2618.0,Balance Sheet
Intangibles - Net,,,29.0,28.0,28.0,28.0,Balance Sheet
Other Long Term Assets,,,557.0,638.0,672.0,708.0,Balance Sheet
Total Assets,,,4235.0,4136.0,4245.0,4246.0,Balance Sheet
Accounts Payable,,,86.0,93.0,102.0,78.0,Balance Sheet
Accrued Expenses,,,582.0,563.0,586.0,576.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,127.0,145.0,161.0,193.0,Balance Sheet
"Other Curr. Lblts, Total",,,531.0,647.0,701.0,605.0,Balance Sheet
Total Current Liabilities,,,1326.0,1448.0,1550.0,1452.0,Balance Sheet
Total Long Term Debt,,,287.0,207.0,212.0,228.0,Balance Sheet
Total Debt,,,414.0,352.0,373.0,421.0,Balance Sheet
"Other Liabilities, Total",,,2092.0,2072.0,2057.0,2098.0,Balance Sheet
Total Liabilities,,,3705.0,3727.0,3819.0,3778.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,381.0,381.0,385.0,389.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,159.0,38.0,51.0,82.0,Balance Sheet
Other Equity,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Comprehensive Income,,,-10.0,-10.0,-10.0,-3.0,Balance Sheet
"Other Equity, Total",,,-10.0,-10.0,-10.0,-3.0,Balance Sheet
Total Equity,,,530.0,409.0,426.0,468.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,4235.0,4136.0,4245.0,4246.0,Balance Sheet
Ttl Comm. Shares Outs.,,,217.0,217.0,218.0,218.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,609.0,605.0,909.0,906.0,Income Statement
"Cost of Revenue, Total",,,317.0,343.0,468.0,446.0,Income Statement
Selling/Gen/Admin Expense,,,165.0,171.0,197.0,185.0,Income Statement
Labor & Related Expense,,,162.0,172.0,174.0,182.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,327.0,343.0,371.0,367.0,Income Statement
Depreciation/Amortization,,,10.0,13.0,15.0,8.0,Income Statement
Unusual Expense (Income),,,0.0,11.0,9.0,-12.0,Income Statement
"Other Operat Expse, Total",,,41.0,48.0,39.0,41.0,Income Statement
Total Operating Expense,,,695.0,758.0,902.0,850.0,Income Statement
Total Operating Income,,,-86.0,-153.0,7.0,56.0,Income Statement
"Inter Expse, Non-Operating",,,-2.0,-9.0,-3.0,-4.0,Income Statement
"Inter Capital, Non-Operat",,,1.0,1.0,2.0,3.0,Income Statement
"Inter Expse,Net Non-Operat",,,-1.0,-8.0,-1.0,-1.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,1.0,,2.0,3.0,Income Statement
Income Before Tax,,,-86.0,-161.0,8.0,58.0,Income Statement
Income Tax - Total,,,-33.0,-40.0,-5.0,27.0,Income Statement
Income After Tax,,,-53.0,-121.0,13.0,31.0,Income Statement
Net Inc Before Extra Items,,,-53.0,-121.0,13.0,31.0,Income Statement
Total Net Income,,,-53.0,-121.0,13.0,31.0,Income Statement
Total Adjust to Net Income,,,0.0,,,,Income Statement
Income Available to Common Excl. Extra. Items,,,-53.0,-121.0,13.0,31.0,Income Statement
Income Available to Common Incl. Extra. Items,,,-53.0,-121.0,13.0,31.0,Income Statement
Basic/Primary Weighted Average Shares,,,216.0,217.0,218.0,218.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,-0.25,-0.56,0.06,0.14,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,-0.25,-0.56,0.06,0.14,Income Statement
Diluted Weighted Average Shares,,,216.0,217.0,219.0,220.0,Income Statement
Diluted EPS Excl. Extra. Items,,,-0.25,-0.56,0.06,0.14,Income Statement
Diluted EPS Incl. Extra. Items,,,-0.25,-0.56,0.06,0.14,Income Statement
Div/Share-ComStockPrimIssue,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",,,2.0,9.0,3.0,4.0,Income Statement
"Interest Capitalized, Suppl",,,-1.0,-1.0,-2.0,-3.0,Income Statement
"Depreciat/Amort, Suppl",,,10.0,13.0,15.0,8.0,Income Statement
Total Special Items,,,0.0,11.0,9.0,-12.0,Income Statement
Normalzd Income Before Tax,,,-86.0,-150.0,17.0,46.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,0.0,4.0,3.0,-6.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,-33.0,-36.0,-2.0,21.0,Income Statement
Normalized Income After Tax,,,-53.0,-114.0,19.0,25.0,Income Statement
Normalzd Inc Avail to Common,,,-53.0,-114.0,19.0,25.0,Income Statement
Basic Normalized EPS,,,-0.25,-0.52,0.09,0.11,Income Statement
Diluted Normalized EPS,,,-0.25,-0.52,0.09,0.11,Income Statement
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,-102.0,-121.0,-108.0,-77.0,Cash Flow
Depreciation/Depletion,,,38.0,13.0,28.0,36.0,Cash Flow
Deferred Taxes,,,-32.0,-40.0,-45.0,-18.0,Cash Flow
Unusual Items,,,0.0,7.0,7.0,7.0,Cash Flow
Other Non-Cash Items,,,-26.0,-4.0,-20.0,-37.0,Cash Flow
Non-Cash Items,,,-26.0,3.0,-13.0,-30.0,Cash Flow
Accounts Receivable,,,-14.0,-9.0,-6.0,-6.0,Cash Flow
Other Assets,,,117.0,-34.0,-86.0,-117.0,Cash Flow
Accounts Payable,,,13.0,5.0,8.0,-13.0,Cash Flow
Changes in Working Capital,,,338.0,58.0,71.0,-83.0,Cash Flow
Total Cash from Operations,,,216.0,-87.0,-67.0,-172.0,Cash Flow
Capital Expenditures,,,-27.0,-7.0,-14.0,-31.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,-40.0,-26.0,-43.0,-86.0,Cash Flow
Total Cash from Investing,,,-67.0,-33.0,-57.0,-117.0,Cash Flow
Financing Cash Flow Items,,,56.0,-3.0,20.0,46.0,Cash Flow
Total Cash Dividends Paid,,,0.0,,,,Cash Flow
"Common Stock, Net",,,266.0,,0.0,0.0,Cash Flow
Options Exercised,,,3.0,,,,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,269.0,,0.0,0.0,Cash Flow
Long Term Debt Issued,,,163.0,97.0,141.0,214.0,Cash Flow
Long Term Debt Reduction,,,-97.0,-165.0,-189.0,-215.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,66.0,-68.0,-48.0,-1.0,Cash Flow
Total Cash From Financing,,,391.0,-71.0,-28.0,45.0,Cash Flow
Net Change in Cash,,,540.0,-191.0,-152.0,-244.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,378.0,918.0,918.0,918.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,918.0,727.0,766.0,674.0,Cash Flow
"Depreciation, Supplemental",,,38.0,13.0,28.0,36.0,Cash Flow
