,ULCC
% Below High,0.15410000000000001
% Held by Institutions,1.0097
52-Wk Range,['8.19 - 15.25']
Annual Dividend $,
Annual Dividend %,
Ask,13.32
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,
Bid,12.84
Bid Size,100.0
Closing Price,12.9
Day Change $,-0.56
Day Change %,-0.0416
Day High,13.48
Day Low,12.88
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.6
Ex-dividend Date,No dividend
Historical Volatility,0.622
Last (size),3.0
Last (time),4:00p ET 11/28/22
Market Cap,2.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,13.46
Short Interest,0.156
Today's Open,13.29
Volume,572792.0
Volume 10-day Avg,692689.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.935064935064935
Growth 1yr High Est,-0.9621212121212122
Growth 1yr Consensus Est,-0.9485930735930737
Growth 2yr Low Est,-4.967532467532467
Growth 2yr High Est,-18.981060606060606
Growth 2yr Consensus Est,-11.974296536796537
Growth 5yr Low Est,-4.967532467532467
Growth 5yr High Est,-18.981060606060606
Growth 5yr Consensus Est,-11.974296536796537
Growth 5yr Actual/Est,-8.596830985915492
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),0.96768
Price/Book (MRQ),6.26299
Price/Cash Flow (TTM),
5yr Low,8.19
5yr High,22.7
5yr Avg Return,-0.16564999999999996
Short Int Current Month,5662945.0
Short Int Prev Month,5951411.0
Short Int Pct of Float,0.155957
Days to Cover,6.33987
Float,215.1357
Shares Outstanding,217.7639
Institutions Holding Shares,165.0
FCF Growth 5yr,-0.043159843396249974
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4804
Operating Profit Margin (TTM),-0.0581
Net Profit Margin (TTM),-0.0429
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.3744
EPS Growth (TTM),0.3025
Revenue Growth (MRQ),-0.0033000000000000004
Revenue Growth (TTM),0.7631
Return On Equity (TTM),-0.249
Return On Assets (TTM),-0.030600000000000002
Return On Investment (TTM),-0.044800000000000006
Revenue Per Employee (TTM),550527.0
Total Debt/Total Capital (MRQ),0.4736
Change in Debt/Total Capital Quarter over Quarter,0.0016
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-01 00:00:00
theStreet since,2022-08-01 00:00:00
ford since,2022-09-02 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
