,GDOT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",22.47,8.59,Valuation,2.6158323632130385
Price/Sales (TTM),0.73,1.88,Valuation,0.38829787234042556
Price/Book (MRQ),1.34,3.02,Valuation,0.4437086092715232
"PEG Ratio (TTM, GAAP)",1.74,1.78,Valuation,0.9775280898876404
Gross Profit Margin (TTM),,0.38079999999999997,Profitability,
Operating Profit Margin (TTM),0.0543,0.2543,Profitability,0.2135273299252851
Net Profit Margin (TTM),0.0332,0.19039999999999999,Profitability,0.17436974789915968
Annual Dividend Yield,,0.0187,Dividend,
Dividend Change %,,0.242,Dividend,
"Dividend Growth Rate, 3 Years",,0.0575,Dividend,
EPS Growth (MRQ),-0.6946,-0.1573,Gowth rates,4.415766052129689
EPS Growth (TTM),0.4986,-0.04820000000000001,Gowth rates,-10.344398340248961
Revenue Growth (MRQ),-0.0524,0.2511,Gowth rates,-0.20868180007964957
Revenue Growth (TTM),0.037000000000000005,0.21670000000000003,Gowth rates,0.1707429626211352
Return On Equity (TTM),0.0513,0.2596,Effectiveness,0.19761171032357472
Return On Assets (TTM),0.0105,0.0326,Effectiveness,0.3220858895705522
Return On Investment (TTM),0.0506,0.0432,Effectiveness,1.1712962962962963
Revenue Per Employee (TTM),1198311.0,448656.0,Effectiveness,2.6708903926393495
Total Debt/Total Capital (MRQ),0.8168000000000001,0.4919,Financial strength,1.6605001016466763
Change in Debt/Total Capital Quarter over Quarter,0.001,0.0012,Financial strength,0.8333333333333334
Quick Ratio (MRQ),,0.05,Financial strength,
Interest Coverage (MRQ),3.34,16.82,Financial strength,0.1985731272294887
