,CPK
% Above Low,0.1307
% Held by Institutions,0.7391
52-Wk Range,['105.79 - 146.30']
Annual Dividend $,2.14
Annual Dividend %,0.0179
Ask,146.0
Ask Size,1400.0
B/A Ratio,0.14285714285714285
B/A Size,200x1400
Beta,0.6
Bid,47.8
Bid Size,200.0
Closing Price,119.62
Day Change $,0.45
Day Change %,0.0038
Day High,120.24
Day Low,119.0
Dividend Pay Date,2023-01-05 00:00:00
"EPS (TTM, GAAP)",4.86
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.27899999999999997
Last (size),8.0
Last (time),5:00p ET 11/25/22
Market Cap,2.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",24.61
Prev Close,119.17
Short Interest,0.013500000000000002
Today's Open,119.85
Volume,22696.0
Volume 10-day Avg,76852.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.04751619870410373
Growth 1yr High Est,0.05338809034907599
Growth 1yr Consensus Est,0.05045214452658986
Growth 2yr Low Est,0.06705706842421677
Growth 2yr High Est,0.06762971768915782
Growth 2yr Consensus Est,0.0673433930566873
Growth 5yr Low Est,0.09593203309101705
Growth 5yr High Est,0.10150405332374951
Growth 5yr Consensus Est,0.09871804320738328
Growth 5yr Actual/Est,0.08600889089964242
Growth 3yr Historic,0.05075065472927709
Price/Earnings (TTM),24.60719
Price/Sales (TTM),3.24608
Price/Book (MRQ),2.60537
Price/Cash Flow (TTM),13.7737
5yr Low,66.35
5yr High,146.3
5yr Avg Return,0.07778333333333333
EPS Growth 5yr,0.1059168
Revenue Growth 5yr,0.0270093
Dividend Growth 5yr,0.09199310000000001
Short Int Current Month,233353.0
Short Int Prev Month,295071.0
Short Int Pct of Float,0.013529199999999998
Days to Cover,2.71451
Float,17.248
Shares Outstanding,17.74103
Institutions Holding Shares,322.0
FCF Growth 5yr,-0.6446266001831001
"Price/Earnings (TTM, GAAP)",24.61
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3747
Operating Profit Margin (TTM),0.2093
Net Profit Margin (TTM),0.13210000000000002
Annual Dividend Yield,0.0179
Dividend Change %,0.0888
"Dividend Growth Rate, 3 Years",0.098
EPS Growth (MRQ),-0.4336
EPS Growth (TTM),0.0363
Revenue Growth (MRQ),-0.060300000000000006
Revenue Growth (TTM),0.196
Return On Equity (TTM),0.1103
Return On Assets (TTM),0.041299999999999996
Return On Investment (TTM),0.049400000000000006
Revenue Per Employee (TTM),649222.0
Total Debt/Total Capital (MRQ),0.4868
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),0.43
Interest Coverage (MRQ),2.99
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-09-23 00:00:00
ford since,2022-09-23 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-05-18 00:00:00
