,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report,Q3 2021
high,66.14,69.48,60.49,64.5,72.58,81.97,,,,,,
low,58.57,39.87,41.98,20.04,47.84,64.1,,,,,,
change,-0.060300000000000006,-0.2686,0.4046,-0.1643,0.4154,0.037000000000000005,,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet,
Cash & Due from Banks,,,,,,,1031.0,965.0,749.0,729.0,Balance Sheet,
Fed. Fund/Resale,,,,,,,20.0,20.0,20.0,20.0,Balance Sheet,
FHLB Stock,,,,,,,15.0,15.0,15.0,15.0,Balance Sheet,
Securities Held,,,,,,,14.0,13.0,13.0,12.0,Balance Sheet,
Securities for Sale,,,,,,,452.0,430.0,401.0,378.0,Balance Sheet,
Total Invest. Securities,,,,,,,525.0,501.0,468.0,453.0,Balance Sheet,
Customer Acceptances,,,,,,,10.0,8.0,11.0,10.0,Balance Sheet,
"Other Erng. Assets, Total",,,,,,,570.0,544.0,514.0,498.0,Balance Sheet,
Total Gross Loans,,,,,,,4425.0,4592.0,4920.0,5011.0,Balance Sheet,
Loan Loss Allowances,,,,,,,-60.0,-58.0,-61.0,-66.0,Balance Sheet,
Unearned Income,,,,,,,-6.0,-9.0,-10.0,-10.0,Balance Sheet,
Net Loans,,,,,,,4359.0,4524.0,4849.0,4934.0,Balance Sheet,
Prop./Plant/Equip. - Net,,,,,,,33.0,32.0,31.0,31.0,Balance Sheet,
Def. Inc. Tax - LT Asset,,,,,,,27.0,31.0,37.0,42.0,Balance Sheet,
Interest Receivable,,,,,,,15.0,15.0,16.0,19.0,Balance Sheet,
Other Real Estate Owned,,,,,,,,16.0,21.0,26.0,Balance Sheet,
Other Assets,,,,,,,13.0,15.0,16.0,13.0,Balance Sheet,
"Other Assets, Total",,,,,,,28.0,46.0,53.0,58.0,Balance Sheet,
Total Assets,,,,,,,6046.0,6142.0,6233.0,6293.0,Balance Sheet,
Accounts Payable,,,,,,,1.0,2.0,1.0,2.0,Balance Sheet,
Accrued Expenses,,,,,,,23.0,22.0,21.0,22.0,Balance Sheet,
Non-Interest Bearing Dep.,,,,,,,1306.0,1252.0,1386.0,1341.0,Balance Sheet,
Interest Bearing Deposits,,,,,,,3005.0,3123.0,3150.0,3273.0,Balance Sheet,
Other Deposits,,,,,,,915.0,935.0,872.0,841.0,Balance Sheet,
Total Deposits,,,,,,,5226.0,5310.0,5408.0,5456.0,Balance Sheet,
"Other Bearing Lblts, Total",,,,,,,10.0,8.0,11.0,10.0,Balance Sheet,
Total Long Term Debt,,,,,,,148.0,148.0,148.0,148.0,Balance Sheet,
Total Debt,,,,,,,148.0,148.0,148.0,148.0,Balance Sheet,
"Other Liabilities, Total",,,,,,,53.0,57.0,53.0,65.0,Balance Sheet,
Total Liabilities,,,,,,,5460.0,5547.0,5641.0,5702.0,Balance Sheet,
"Pref. Stock-Non Rdmbl, Net",,,,,,,0.0,0.0,0.0,,Balance Sheet,
Common Stock,,,,,,,211.0,211.0,211.0,180.0,Balance Sheet,
Additional Paid-In Capital,,,,,,,73.0,75.0,77.0,,Balance Sheet,
Ret. Earn.(Accum. Deficit),,,,,,,373.0,393.0,414.0,443.0,Balance Sheet,
