,PFBC,Industry,Type,Ratio to Industry
Total Debt/Total Capital (MRQ),,0.0086,Valuation,
Change in Debt/Total Capital Quarter over Quarter,-0.0005,0.0009,Valuation,-0.5555555555555556
Quick Ratio (MRQ),,,Valuation,
Interest Coverage (MRQ),,,Valuation,
Total Debt/Total Capital (MRQ),,0.0086,Profitability,
Change in Debt/Total Capital Quarter over Quarter,-0.0005,0.0009,Profitability,-0.5555555555555556
Quick Ratio (MRQ),,,Profitability,
Interest Coverage (MRQ),,,Profitability,
Annual Dividend Yield,0.0229,0.028700000000000003,Dividend,0.7979094076655051
Dividend Change %,0.30829999999999996,-0.0086,Dividend,-35.848837209302324
"Dividend Growth Rate, 3 Years",0.15460000000000002,0.0734,Dividend,2.106267029972752
EPS Growth (MRQ),0.2847,-0.0335,Gowth rates,-8.498507462686566
EPS Growth (TTM),0.2999,-0.09960000000000001,Gowth rates,-3.011044176706827
Revenue Growth (MRQ),0.2535,0.5429,Gowth rates,0.466936820777307
Revenue Growth (TTM),0.1949,0.2466,Gowth rates,0.7903487429034873
Return On Equity (TTM),0.20079999999999998,0.1135,Effectiveness,1.7691629955947135
Return On Assets (TTM),0.0189,0.0099,Effectiveness,1.909090909090909
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0005,0.0009,Financial strength,-0.5555555555555556
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
