,ACCD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,29.13,Valuation,
Price/Sales (TTM),1.81,1.32,Valuation,1.371212121212121
Price/Book (MRQ),1.1,4.31,Valuation,0.2552204176334107
"PEG Ratio (TTM, GAAP)",,0.26,Valuation,
Gross Profit Margin (TTM),0.4622,0.1318,Profitability,3.5068285280728375
Operating Profit Margin (TTM),-1.2611,0.0458,Profitability,-27.534934497816597
Net Profit Margin (TTM),-1.2417,0.0242,Profitability,-51.3099173553719
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),-8.5651,-0.1478,Gowth rates,57.95060893098782
EPS Growth (TTM),-2.3648,-1.101,Gowth rates,2.1478655767484103
Revenue Growth (MRQ),-0.08779999999999999,0.0931,Gowth rates,-0.9430719656283565
Revenue Growth (TTM),0.7322,0.1191,Gowth rates,6.1477749790092355
Return On Equity (TTM),-0.8589,7.2022,Effectiveness,-0.1192552275693538
Return On Assets (TTM),-0.4545,0.0403,Effectiveness,-11.277915632754342
Return On Investment (TTM),-0.5305,0.016,Effectiveness,-33.15625
Revenue Per Employee (TTM),142988.0,1375304.0,Effectiveness,0.1039682862843415
Total Debt/Total Capital (MRQ),0.3446,0.4855,Financial strength,0.7097837281153451
Change in Debt/Total Capital Quarter over Quarter,-0.0005,0.0015,Financial strength,-0.3333333333333333
Quick Ratio (MRQ),,0.31,Financial strength,
Interest Coverage (MRQ),-73.08,9.55,Financial strength,-7.652356020942408
