,ACCD
% Above Low,0.8308
% Held by Institutions,0.7807
52-Wk Range,['4.61 - 28.04']
Annual Dividend $,
Annual Dividend %,
Ask,10.83
Ask Size,500.0
B/A Ratio,1.2
B/A Size,600x500
Beta,
Bid,8.0
Bid Size,600.0
Closing Price,8.44
Day Change $,-0.17
Day Change %,-0.0197
Day High,8.7
Day Low,8.34
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-6.08
Ex-dividend Date,No dividend
Historical Volatility,1.202
Last (size),31.0
Last (time),12:59p ET 11/25/22
Market Cap,604.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,8.61
Short Interest,0.0616
Today's Open,8.54
Volume,166885.0
Volume 10-day Avg,512849.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-09 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.6283582089552239
Growth 2yr High Est,-0.5
Growth 2yr Consensus Est,-0.5641791044776119
Growth 5yr Low Est,-0.6283582089552239
Growth 5yr High Est,-0.5
Growth 5yr Consensus Est,-0.5641791044776119
Growth 5yr Actual/Est,0.5617017190697878
Growth 3yr Historic,0.04069767441860465
Price/Earnings (TTM),
Price/Sales (TTM),1.80692
Price/Book (MRQ),1.09916
Price/Cash Flow (TTM),
5yr Low,4.61
5yr High,65.25
5yr Avg Return,-0.28146666666666664
Short Int Current Month,4324166.0
Short Int Prev Month,4192870.0
Short Int Pct of Float,0.0616196
Days to Cover,7.13303
Float,68.97604
Shares Outstanding,71.93891
Institutions Holding Shares,207.0
FCF Growth 5yr,0.02691705345893684
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4622
Operating Profit Margin (TTM),-1.2611
Net Profit Margin (TTM),-1.2417
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-8.5651
EPS Growth (TTM),-2.3648
Revenue Growth (MRQ),-0.08779999999999999
Revenue Growth (TTM),0.7322
Return On Equity (TTM),-0.8589
Return On Assets (TTM),-0.4545
Return On Investment (TTM),-0.5305
Revenue Per Employee (TTM),142988.0
Total Debt/Total Capital (MRQ),0.3446
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),
Interest Coverage (MRQ),-73.08
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-08-03 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
theStreet since,2021-08-03 00:00:00
newConstructs since,
marketEdge opinion since,
