,2020,2021,2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Report
high,65.25,59.93,27.74,,,,,
low,28.68,21.76,4.61,,,,,
change,0.2429,-0.40390000000000004,-0.6834,,,,,
Date,,,,2021-08-31 00:00:00,2021-11-30 00:00:00,2022-02-28 00:00:00,2022-05-31 00:00:00,Balance Sheet
Cash,,,,,,,336.0,Balance Sheet
Cash & Equivalents,,,,384.0,366.0,366.0,,Balance Sheet
Cash and Short Term Invs,,,,384.0,366.0,366.0,336.0,Balance Sheet
"Total Receivables, Net",,,,19.0,26.0,31.0,28.0,Balance Sheet
Prepaid Expenses,,,,12.0,13.0,9.0,10.0,Balance Sheet
"Other Curr. Assets, Total",,,,3.0,3.0,3.0,3.0,Balance Sheet
Total Current Assets,,,,418.0,408.0,409.0,378.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,12.0,12.0,45.0,46.0,Balance Sheet
"Goodwill, Net",,,,576.0,580.0,578.0,278.0,Balance Sheet
Intangibles - Gross,,,,274.0,284.0,284.0,,Balance Sheet
Accum. Intangible Amort.,,,,-18.0,-28.0,-39.0,,Balance Sheet
Intangibles - Net,,,,255.0,255.0,245.0,234.0,Balance Sheet
Other Long Term Assets,,,,2.0,2.0,2.0,2.0,Balance Sheet
Total Assets,,,,1270.0,1263.0,1286.0,944.0,Balance Sheet
Accounts Payable,,,,9.0,6.0,8.0,8.0,Balance Sheet
Accrued Expenses,,,,43.0,44.0,57.0,40.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,,Balance Sheet
Customer Advances,,,,43.0,43.0,31.0,37.0,Balance Sheet
Other Current Liabilities,,,,155.0,92.0,16.0,11.0,Balance Sheet
"Other Curr. Lblts, Total",,,,198.0,135.0,47.0,48.0,Balance Sheet
Total Current Liabilities,,,,249.0,185.0,112.0,95.0,Balance Sheet
Total Long Term Debt,,,,280.0,280.0,281.0,281.0,Balance Sheet
Total Debt,,,,280.0,280.0,281.0,281.0,Balance Sheet
"Other Liabilities, Total",,,,7.0,10.0,37.0,33.0,Balance Sheet
Total Liabilities,,,,536.0,475.0,430.0,410.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,1216.0,1249.0,1350.0,1372.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-483.0,-460.0,-495.0,-837.0,Balance Sheet
Total Equity,,,,734.0,789.0,856.0,535.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,1270.0,1263.0,1286.0,944.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,66.0,67.0,67.0,70.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-08-31 00:00:00,2021-11-30 00:00:00,2022-02-28 00:00:00,2022-05-31 00:00:00,Income Statement
Total Revenue,,,,73288.0,83450.0,93756.0,85528.0,Income Statement
"Cost of Revenue, Total",,,,44334.0,45156.0,43593.0,47615.0,Income Statement
Selling/Gen/Admin Expense,,,,49453.0,51187.0,49211.0,54408.0,Income Statement
Labor & Related Expense,,,,18721.0,17428.0,26246.0,18261.0,Income Statement
