,DM
% Above Low,0.619
% Held by Institutions,0.47259999999999996
52-Wk Range,['1.26 - 6.74']
Annual Dividend $,
Annual Dividend %,
Ask,2.14
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,0.3
Bid,2.01
Bid Size,1000.0
Closing Price,2.04
Day Change $,0.01
Day Change %,0.0049
Day High,2.06
Day Low,2.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.61
Ex-dividend Date,No dividend
Historical Volatility,1.298
Last (size),78.0
Last (time),5:00p ET 11/25/22
Market Cap,646.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.03
Short Interest,0.2097
Today's Open,2.06
Volume,1109641.0
Volume 10-day Avg,3693677.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.39534883720930225
Growth 2yr High Est,-0.5263157894736843
Growth 2yr Consensus Est,-0.46083231334149327
Growth 5yr Low Est,-0.39534883720930225
Growth 5yr High Est,-0.5263157894736843
Growth 5yr Consensus Est,-0.46083231334149327
Growth 5yr Actual/Est,-0.16117020192758325
Growth 3yr Historic,-0.16959064327485376
Price/Earnings (TTM),
Price/Sales (TTM),3.15803
Price/Book (MRQ),0.80176
Price/Cash Flow (TTM),
5yr Low,1.26
5yr High,34.94
5yr Avg Return,-0.138975
Short Int Current Month,59488969.0
Short Int Prev Month,61041338.0
Short Int Pct of Float,0.20968540000000002
Days to Cover,14.92493
Float,283.7012
Shares Outstanding,317.5771
Institutions Holding Shares,266.0
FCF Growth 5yr,0.20978125145334625
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0941
Operating Profit Margin (TTM),-2.3363
Net Profit Margin (TTM),-2.4332
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.7970999999999999
EPS Growth (TTM),-0.8495
Revenue Growth (MRQ),-0.18359999999999999
Revenue Growth (TTM),1.8414
Return On Equity (TTM),-0.5851
Return On Assets (TTM),-0.49350000000000005
Return On Investment (TTM),-0.5325
Revenue Per Employee (TTM),149742.0
Total Debt/Total Capital (MRQ),0.1229
Change in Debt/Total Capital Quarter over Quarter,0.4078
Quick Ratio (MRQ),2.86
Interest Coverage (MRQ),-23.9
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-03-09 00:00:00
ford since,2022-10-14 00:00:00
cfra since,
theStreet since,2022-03-09 00:00:00
newConstructs since,
marketEdge opinion since,
