,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,10.05,25.42,34.94,5.39,,,,,
low,9.61,9.4,4.66,1.26,,,,,
change,0.028900000000000002,0.7217,-0.7105,-0.596,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,65.0,104.0,108.0,67.0,Balance Sheet
Short Term Investments,,,,,205.0,103.0,148.0,150.0,Balance Sheet
Cash and Short Term Invs,,,,,270.0,206.0,256.0,217.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,47.0,38.0,39.0,43.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-1.0,-1.0,-1.0,-2.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,47.0,37.0,37.0,41.0,Balance Sheet
Other Receivables,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Total Receivables, Net",,,,,47.0,37.0,38.0,42.0,Balance Sheet
Invent. - Finished Goods,,,,,32.0,40.0,43.0,45.0,Balance Sheet
Invent. - Work In Progress,,,,,9.0,9.0,10.0,8.0,Balance Sheet
Invent. - Raw Materials,,,,,25.0,33.0,36.0,39.0,Balance Sheet
Total Inventory,,,,,65.0,82.0,89.0,91.0,Balance Sheet
Prepaid Expenses,,,,,17.0,21.0,20.0,17.0,Balance Sheet
Restricted Cash - Current,,,,,2.0,2.0,3.0,4.0,Balance Sheet
Other Current Assets,,,,,1.0,1.0,1.0,1.0,Balance Sheet
"Other Curr. Assets, Total",,,,,4.0,3.0,4.0,5.0,Balance Sheet
Total Current Assets,,,,,402.0,350.0,406.0,373.0,Balance Sheet
Buildings,,,,,15.0,16.0,17.0,18.0,Balance Sheet
Land/Improvements,,,,,17.0,17.0,17.0,16.0,Balance Sheet
Machinery/Equipment,,,,,48.0,51.0,56.0,55.0,Balance Sheet
Construction in Progress,,,,,4.0,3.0,3.0,3.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,22.0,28.0,27.0,27.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,106.0,114.0,118.0,119.0,Balance Sheet
Accumulated Depreciation,,,,,-30.0,-32.0,-38.0,-39.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,77.0,82.0,80.0,80.0,Balance Sheet
"Goodwill, Net",,,,,639.0,630.0,378.0,365.0,Balance Sheet
Intangibles - Gross,,,,,281.0,279.0,276.0,231.0,Balance Sheet
Accum. Intangible Amort.,,,,,-19.0,-28.0,-38.0,-47.0,Balance Sheet
Intangibles - Net,,,,,262.0,251.0,238.0,225.0,Balance Sheet
Long Term Investments,,,,,7.0,7.0,6.0,3.0,Balance Sheet
Other Long Term Assets,,,,,1.0,1.0,2.0,4.0,Balance Sheet
Total Assets,,,,,1389.0,1322.0,1111.0,1051.0,Balance Sheet
Accounts Payable,,,,,32.0,30.0,29.0,29.0,Balance Sheet
Accrued Expenses,,,,,35.0,30.0,27.0,30.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Customer Advances,,,,,18.0,19.0,18.0,16.0,Balance Sheet
Security Deposits,,,,,14.0,17.0,12.0,15.0,Balance Sheet
Income Taxes Payable,,,,,1.0,0.0,0.0,1.0,Balance Sheet
Other Current Liabilities,,,,,4.0,7.0,7.0,7.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,37.0,43.0,37.0,39.0,Balance Sheet
Total Current Liabilities,,,,,104.0,104.0,94.0,98.0,Balance Sheet
Long Term Debt,,,,,1.0,1.0,112.0,112.0,Balance Sheet
Capital Lease Obligations,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Total Long Term Debt,,,,,1.0,1.0,112.0,113.0,Balance Sheet
Total Debt,,,,,2.0,2.0,113.0,113.0,Balance Sheet
Deferred Income Tax,,,,,11.0,10.0,8.0,8.0,Balance Sheet
"Other Liabilities, Total",,,,,24.0,29.0,26.0,26.0,Balance Sheet
Total Liabilities,,,,,140.0,144.0,240.0,245.0,Balance Sheet
Common Stock,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,1823.0,1834.0,1852.0,1864.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,-569.0,-639.0,-936.0,-997.0,Balance Sheet
"Other Equity, Total",,,,,-6.0,-17.0,-45.0,-61.0,Balance Sheet
Total Equity,,,,,1248.0,1178.0,871.0,807.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,1389.0,1322.0,1111.0,1051.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,311.0,313.0,315.0,317.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,56680.0,43706.0,57674.0,47086.0,Income Statement
"Cost of Revenue, Total",,,,,44127.0,45034.0,49277.0,47395.0,Income Statement
Selling/Gen/Admin Expense,,,,,32099.0,34855.0,33176.0,26701.0,Income Statement
Labor & Related Expense,,,,,7547.0,4705.0,5750.0,6951.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,39646.0,39560.0,38926.0,33652.0,Income Statement
Research & Development,,,,,22311.0,24605.0,31370.0,22382.0,Income Statement
Impair-Assets Held for Use,,,,,,,229500.0,0.0,Income Statement
Other Unusual Expnse (In),,,,,10002.0,3986.0,1171.0,1476.0,Income Statement
Unusual Expense (Income),,,,,10002.0,3986.0,230671.0,1476.0,Income Statement
Total Operating Expense,,,,,116086.0,113185.0,350244.0,104905.0,Income Statement
Total Operating Income,,,,,-59406.0,-69479.0,-292570.0,-57819.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,,-8656.0,-1721.0,-5013.0,-1677.0,Income Statement
"Other, Net",,,,,0.0,0.0,0.0,0.0,Income Statement
Income Before Tax,,,,,-68074.0,-71200.0,-298216.0,-60176.0,Income Statement
Income Tax - Total,,,,,3093.0,-1256.0,-944.0,598.0,Income Statement
Income After Tax,,,,,-71167.0,-69944.0,-297272.0,-60774.0,Income Statement
Net Inc Before Extra Items,,,,,-71167.0,-69944.0,-297272.0,-60774.0,Income Statement
Total Net Income,,,,,-71167.0,-69944.0,-297272.0,-60774.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,-71167.0,-69944.0,-297272.0,-60774.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,-71167.0,-69944.0,-297272.0,-60774.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,288677.0,312017.0,313557.0,316008.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,-0.25,-0.22,-0.95,-0.19,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,-0.25,-0.22,-0.95,-0.19,Income Statement
Diluted Weighted Average Shares,,,,,288677.0,312017.0,313557.0,316008.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,-0.25,-0.22,-0.95,-0.19,Income Statement
Diluted EPS Incl. Extra. Items,,,,,-0.25,-0.22,-0.95,-0.19,Income Statement
Div/Share-ComStockPrimIssue,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,12.0,,633.0,680.0,Income Statement
"Depreciat/Amort, Suppl",,,,,4100.0,3100.0,3100.0,3623.0,Income Statement
Total Special Items,,,,,10002.0,3986.0,230671.0,1476.0,Income Statement
Normalzd Income Before Tax,,,,,-58072.0,-67214.0,-67545.0,-58700.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,3501.0,1395.0,80735.0,517.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,6594.0,139.0,79791.0,1115.0,Income Statement
Normalized Income After Tax,,,,,-64666.0,-67353.0,-147336.0,-59815.0,Income Statement
Normalzd Inc Avail to Common,,,,,-64666.0,-67353.0,-147336.0,-59815.0,Income Statement
Basic Normalized EPS,,,,,-0.22,-0.22,-0.47,-0.19,Income Statement
Diluted Normalized EPS,,,,,-0.22,-0.22,-0.47,-0.19,Income Statement
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,-240334.0,-69944.0,-367216.0,-427990.0,Cash Flow
Depreciation/Depletion,,,,,24854.0,12883.0,25602.0,38294.0,Cash Flow
Deferred Taxes,,,,,-29668.0,-1256.0,-2188.0,-1602.0,Cash Flow
Unusual Items,,,,,84592.0,-112.0,230460.0,230200.0,Cash Flow
Equity in Net Earnings/Loss,,,,,9660.0,1700.0,5080.0,6172.0,Cash Flow
Other Non-Cash Items,,,,,32444.0,10939.0,28330.0,40037.0,Cash Flow
Non-Cash Items,,,,,126696.0,12527.0,263870.0,276409.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,150.0,,0.0,0.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,148.0,0.0,0.0,0.0,Cash Flow
Accounts Receivable,,,,,-18299.0,9489.0,8250.0,3166.0,Cash Flow
Inventories,,,,,-16962.0,-15506.0,-25384.0,-31195.0,Cash Flow
Prepaid Expenses,,,,,-8937.0,-4087.0,-2994.0,-969.0,Cash Flow
Other Assets,,,,,-2572.0,2770.0,-295.0,3556.0,Cash Flow
Accounts Payable,,,,,12797.0,-1333.0,-2767.0,-2959.0,Cash Flow
Accrued Expenses,,,,,-9580.0,-2442.0,-6420.0,-3084.0,Cash Flow
Changes in Working Capital,,,,,-36596.0,-10484.0,-31117.0,-35900.0,Cash Flow
Total Cash from Operations,,,,,-155048.0,-56274.0,-111049.0,-150789.0,Cash Flow
Capital Expenditures,,,,,-28903.0,-4074.0,-6747.0,-8157.0,Cash Flow
Acquisition of Business,,,,,-287624.0,-23.0,-23.0,-23.0,Cash Flow
Sale of Fixed Assets,,,,,44.0,6.0,6.0,6.0,Cash Flow
Sale/Maturity of Investment,,,,,333.0,98625.0,177150.0,208805.0,Cash Flow
Purchase of Investments,,,,,-334493.0,0.0,-126771.0,-158404.0,Cash Flow
Other Investing Cash Flow,,,,,223349.0,,,200.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,-398391.0,98608.0,50362.0,50584.0,Cash Flow
Total Cash from Investing,,,,,-427294.0,94534.0,43615.0,42427.0,Cash Flow
Financing Cash Flow Items,,,,,-541.0,-158.0,-3810.0,-3849.0,Cash Flow
Options Exercised,,,,,6426.0,900.0,1266.0,3036.0,Cash Flow
Warrants Converted,,,,,170665.0,0.0,0.0,0.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,177091.0,900.0,1266.0,3036.0,Cash Flow
Long Term Debt Issued,,,,,,,115000.0,115000.0,Cash Flow
Long Term Debt Reduction,,,,,-10000.0,-43.0,-231.0,-421.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,-10000.0,-43.0,114769.0,114579.0,Cash Flow
