,MCHP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",23.08,20.56,Valuation,1.122568093385214
Price/Sales (TTM),5.45,7.41,Valuation,0.7354925775978408
Price/Book (MRQ),6.82,13.13,Valuation,0.5194211728865195
"PEG Ratio (TTM, GAAP)",1.83,0.9,Valuation,2.033333333333333
Gross Profit Margin (TTM),0.6652,0.5489,Profitability,1.2118783020586628
Operating Profit Margin (TTM),0.32530000000000003,0.25739999999999996,Profitability,1.2637917637917642
Net Profit Margin (TTM),0.2414,0.2224,Profitability,1.085431654676259
Annual Dividend Yield,0.0173,0.014499999999999999,Dividend,1.193103448275862
Dividend Change %,-0.3909,0.0676,Dividend,-5.782544378698225
"Dividend Growth Rate, 3 Years",0.077,0.091,Dividend,0.8461538461538461
EPS Growth (MRQ),0.08310000000000001,1.5356,Gowth rates,0.05411565511852045
EPS Growth (TTM),1.4231,0.2274,Gowth rates,6.258135444151276
Revenue Growth (MRQ),0.0558,0.1335,Gowth rates,0.41797752808988764
Revenue Growth (TTM),0.265,0.24170000000000003,Gowth rates,1.0964004964832437
Return On Equity (TTM),0.3124,0.36920000000000003,Effectiveness,0.8461538461538461
Return On Assets (TTM),0.114,0.16010000000000002,Effectiveness,0.7120549656464709
Return On Investment (TTM),0.1285,0.1925,Effectiveness,0.6675324675324675
Revenue Per Employee (TTM),363738.0,898550.0,Effectiveness,0.40480552000445164
Total Debt/Total Capital (MRQ),0.5448,0.3576,Financial strength,1.523489932885906
Change in Debt/Total Capital Quarter over Quarter,-0.0011,0.0,Financial strength,-inf
Quick Ratio (MRQ),0.65,2.24,Financial strength,0.2901785714285714
Interest Coverage (MRQ),14.3,15.8,Financial strength,0.9050632911392406
