,MCHP
% Below High,0.1592
% Held by Institutions,0.9085
52-Wk Range,['54.33 - 90.00']
Annual Dividend $,1.31
Annual Dividend %,0.0173
Ask,76.7
Ask Size,100.0
Ask close,80.84
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,72.5
Bid Size,100.0
Bid close,71.09
Change Since Close,-1.67| |(-2.21%)
Closing Price,75.67
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-06 00:00:00
"EPS (TTM, GAAP)",3.28
Ex-dividend,2022-11-21 00:00:00
Ex-dividend Date,11/21/22
Historical Volatility,0.467
Last (size),300.0
Last (time),1:00p ET 11/25/22
Last Trade,74.0
Market Cap,41.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.08
Prev Close,75.67
Short Interest,0.0233
Today's Open,
Volume,1612.0
Volume 10-day Avg,4899780.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,0.1995565410199558
Growth 1yr High Est,0.3165938864628821
Growth 1yr Consensus Est,0.25807521374141895
Growth 2yr Low Est,0.04340119102753792
Growth 2yr High Est,0.20970656180523872
Growth 2yr Consensus Est,0.12655387641638832
Growth 5yr Low Est,0.0032704197612586083
Growth 5yr High Est,0.0733241032305896
Growth 5yr Consensus Est,0.038297261495924106
Growth 5yr Actual/Est,0.2110475631104105
Growth 3yr Historic,0.14283673029224636
Price/Earnings (TTM),23.08321
Price/Sales (TTM),5.4486
Price/Book (MRQ),6.81935
Price/Cash Flow (TTM),14.1125
5yr Low,26.58
5yr High,90.0
5yr Avg Return,0.1161166666666667
EPS Growth 5yr,0.44285559999999996
Revenue Growth 5yr,0.1488765
Dividend Growth 5yr,0.0478074
Short Int Current Month,12528287.0
Short Int Prev Month,12459585.0
Short Int Pct of Float,0.0232625
Days to Cover,1.93516
Float,538.5668
Shares Outstanding,550.0087
Institutions Holding Shares,1323.0
FCF Growth 5yr,0.19591148240903036
"Price/Earnings (TTM, GAAP)",23.08
"PEG Ratio (TTM, GAAP)",1.83
Gross Profit Margin (TTM),0.6652
Operating Profit Margin (TTM),0.32530000000000003
Net Profit Margin (TTM),0.2414
Annual Dividend Yield,0.0173
Dividend Change %,-0.3909
"Dividend Growth Rate, 3 Years",0.077
EPS Growth (MRQ),0.08310000000000001
EPS Growth (TTM),1.4231
Revenue Growth (MRQ),0.0558
Revenue Growth (TTM),0.265
Return On Equity (TTM),0.3124
Return On Assets (TTM),0.114
Return On Investment (TTM),0.1285
Revenue Per Employee (TTM),363738.0
Total Debt/Total Capital (MRQ),0.5448
Change in Debt/Total Capital Quarter over Quarter,-0.0011
Quick Ratio (MRQ),0.65
Interest Coverage (MRQ),14.3
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-08-13 00:00:00
theStreet since,2021-05-07 00:00:00
cfra since,2019-05-14 00:00:00
ford since,2022-09-09 00:00:00
marketEdge opinion since,
