,MA
% Below High,0.1216
% Held by Institutions,0.7655
52-Wk Range,['276.87 - 399.92']
Annual Dividend $,1.96
Annual Dividend %,0.005600000000000001
Ask,352.49
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,344.0
Bid Size,100.0
Change Since Close,-4.29| |(-1.22%)
Closing Price,351.29
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-09 00:00:00
"EPS (TTM, GAAP)",10.01
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.33299999999999996
Last (size),2.0
Last (time),5:00p ET 11/25/22
Last Trade,347.0
Market Cap,337.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",35.09
Prev Close,351.29
Short Interest,0.0055000000000000005
Today's Open,
Volume,519.0
Volume 10-day Avg,2454757.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,33.0
Growth 1yr Low Est,0.28484107579462115
Growth 1yr High Est,0.27976190476190466
Growth 1yr Consensus Est,0.2823014902782629
Growth 2yr Low Est,0.1519352857564924
Growth 2yr High Est,0.24453211517164997
Growth 2yr Consensus Est,0.19823370046407118
Growth 5yr Low Est,0.10996441140145702
Growth 5yr High Est,0.14614243075261246
Growth 5yr Consensus Est,0.12805342107703474
Growth 5yr Actual/Est,0.1361676828334259
Growth 3yr Historic,0.03347954708763423
Price/Earnings (TTM),35.08662
Price/Sales (TTM),15.61061
Price/Book (MRQ),53.18225
Price/Cash Flow (TTM),32.04775
5yr Low,140.61
5yr High,401.5
5yr Avg Return,0.16608333333333333
EPS Growth 5yr,0.18891470000000002
Revenue Growth 5yr,0.1187351
Dividend Growth 5yr,0.18285579999999999
Short Int Current Month,4666018.0
Short Int Prev Month,4735401.0
Short Int Pct of Float,0.0054867
Days to Cover,1.54147
Float,850.7028
Shares Outstanding,961.4598
Institutions Holding Shares,3362.0
FCF Growth 5yr,0.5499829753872741
"Price/Earnings (TTM, GAAP)",35.09
"PEG Ratio (TTM, GAAP)",1.68
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.5503
Net Profit Margin (TTM),0.4522
Annual Dividend Yield,0.005600000000000001
Dividend Change %,0.1
"Dividend Growth Rate, 3 Years",0.2074
EPS Growth (MRQ),0.10529999999999999
EPS Growth (TTM),0.231
Revenue Growth (MRQ),0.0471
Revenue Growth (TTM),0.2163
Return On Equity (TTM),1.4979
Return On Assets (TTM),0.268
Return On Investment (TTM),0.4093
Revenue Per Employee (TTM),901500.0
Total Debt/Total Capital (MRQ),0.6929000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),40.95
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2009-07-31 00:00:00
cfra since,2019-07-10 00:00:00
ford since,2020-08-07 00:00:00
marketEdge opinion since,
