,FDS
% Below High,0.08039999999999999
% Held by Institutions,0.8645
52-Wk Range,['345.92 - 495.40']
Annual Dividend $,3.56
Annual Dividend %,0.0078000000000000005
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,187.89
Bid Size,
Closing Price,455.58
Day Change $,1.84
Day Change %,0.0040999999999999995
Day High,455.68
Day Low,452.47
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",10.23
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.28300000000000003
Last (size),966.0
Last (time),5:00p ET 11/25/22
Market Cap,17.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",44.55
Prev Close,453.74
Short Interest,0.013500000000000002
Today's Open,452.47
Volume,75220.0
Volume 10-day Avg,208077.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-20 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.1448707909162099
Growth 1yr High Est,0.040531097134870686
Growth 1yr Consensus Est,0.0927009440255403
Growth 2yr Low Est,0.10253115469203111
Growth 2yr High Est,0.08977528664668322
Growth 2yr Consensus Est,0.09615322066935716
Growth 5yr Low Est,0.11829636185445647
Growth 5yr High Est,0.12644464054298948
Growth 5yr Consensus Est,0.12237050119872298
Growth 5yr Actual/Est,0.11454620420892556
Growth 3yr Historic,0.06235348076424438
Price/Earnings (TTM),44.5518
Price/Sales (TTM),9.41313
Price/Book (MRQ),13.01812
Price/Cash Flow (TTM),35.89079
5yr Low,183.89
5yr High,495.4
5yr Avg Return,0.16903333333333337
EPS Growth 5yr,0.0948056
Revenue Growth 5yr,0.08590350000000001
Dividend Growth 5yr,0.1003682
Short Int Current Month,514013.0
Short Int Prev Month,624334.0
Short Int Pct of Float,0.0135126
Days to Cover,2.23222
Float,38.04985
Shares Outstanding,38.09822
Institutions Holding Shares,985.0
FCF Growth 5yr,1.0411519222582442
"Price/Earnings (TTM, GAAP)",44.55
"PEG Ratio (TTM, GAAP)",3.74
Gross Profit Margin (TTM),0.5276
Operating Profit Margin (TTM),0.2579
Net Profit Margin (TTM),0.21530000000000002
Annual Dividend Yield,0.0078000000000000005
Dividend Change %,0.0755
"Dividend Growth Rate, 3 Years",0.0793
EPS Growth (MRQ),0.3796
EPS Growth (TTM),-0.013000000000000001
Revenue Growth (MRQ),0.0216
Revenue Growth (TTM),0.1586
Return On Equity (TTM),0.3381
Return On Assets (TTM),0.1272
Return On Investment (TTM),0.14470000000000002
Revenue Per Employee (TTM),164589.0
Total Debt/Total Capital (MRQ),0.5982000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0091
Quick Ratio (MRQ),
Interest Coverage (MRQ),9.54
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2009-04-15 00:00:00
researchTeam since,2021-12-23 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-06-27 00:00:00
ford since,2022-08-26 00:00:00
marketEdge opinion since,
