,TMDX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),26.36,9.8,Valuation,2.6897959183673468
Price/Book (MRQ),10.07,10.31,Valuation,0.976721629485936
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.7184999999999999,0.6196,Profitability,1.1596191091026467
Operating Profit Margin (TTM),-0.4932,0.047,Profitability,-10.493617021276597
Net Profit Margin (TTM),-0.5878,0.009300000000000001,Profitability,-63.20430107526881
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),0.40340000000000004,-0.4858,Gowth rates,-0.8303828736105394
EPS Growth (TTM),-0.084,-0.2029,Gowth rates,0.41399704287826516
Revenue Growth (MRQ),0.2515,0.1161,Gowth rates,2.166236003445306
Revenue Growth (TTM),1.5425,0.18300000000000002,Gowth rates,8.428961748633878
Return On Equity (TTM),-0.31670000000000004,0.1068,Effectiveness,-2.965355805243446
Return On Assets (TTM),-0.2078,0.0622,Effectiveness,-3.3408360128617365
Return On Investment (TTM),-0.2284,0.0732,Effectiveness,-3.1202185792349724
Revenue Per Employee (TTM),484811.0,403586.0,Effectiveness,1.2012582200571873
Total Debt/Total Capital (MRQ),0.23760000000000003,0.3161,Financial strength,0.7516608668142994
Change in Debt/Total Capital Quarter over Quarter,-0.002,0.0125,Financial strength,-0.16
Quick Ratio (MRQ),11.21,2.25,Financial strength,4.982222222222223
Interest Coverage (MRQ),-2.25,14.99,Financial strength,-0.15010006671114076
