,TMDX
% Below High,0.0475
% Held by Institutions,0.9312
52-Wk Range,['10.00 - 61.30']
Annual Dividend $,
Annual Dividend %,
Ask,60.5
Ask Size,100.0
Ask close,71.62
B/A Ratio,2.0
B/A Size,200x100
Beta,1.6
Bid,58.3
Bid Size,200.0
Bid close,45.83
Change Since Close,0.00| |(0.00%)
Closing Price,58.39
Day Change $,-0.86
Day Change %,-0.014499999999999999
Day High,60.61
Day Low,57.63
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.49
Ex-dividend Date,No dividend
Historical Volatility,0.841
Last (size),2.0
Last (time),4:00p ET 11/28/22
Last Trade,58.39
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,59.25
Short Interest,0.0689
Today's Open,59.04
Volume,359341.0
Volume 10-day Avg,343167.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.10062893081761015
Growth 1yr High Est,-0.19480519480519487
Growth 1yr Consensus Est,-0.1477170628114025
Growth 2yr Low Est,0.005629590535250972
Growth 2yr High Est,-0.29498324256388775
Growth 2yr Consensus Est,-0.1446768260143184
Growth 5yr Low Est,0.09105464765842126
Growth 5yr High Est,-0.05904081614350928
Growth 5yr Consensus Est,0.016006915757455997
Growth 5yr Actual/Est,-0.14043499725483943
Growth 3yr Historic,-0.03229105786090003
Price/Earnings (TTM),
Price/Sales (TTM),26.36177
Price/Book (MRQ),10.07196
Price/Cash Flow (TTM),
5yr Low,10.0
5yr High,61.3
5yr Avg Return,0.495625
EPS Growth 5yr,
Revenue Growth 5yr,0.3726986
Dividend Growth 5yr,
Short Int Current Month,2115682.0
Short Int Prev Month,2288761.0
Short Int Pct of Float,0.0689105
Days to Cover,3.57145
Float,30.68186
Shares Outstanding,31.92422
Institutions Holding Shares,244.0
FCF Growth 5yr,0.26505502919131435
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7184999999999999
Operating Profit Margin (TTM),-0.4932
Net Profit Margin (TTM),-0.5878
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.40340000000000004
EPS Growth (TTM),-0.084
Revenue Growth (MRQ),0.2515
Revenue Growth (TTM),1.5425
Return On Equity (TTM),-0.31670000000000004
Return On Assets (TTM),-0.2078
Return On Investment (TTM),-0.2284
Revenue Per Employee (TTM),484811.0
Total Debt/Total Capital (MRQ),0.23760000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.002
Quick Ratio (MRQ),11.21
Interest Coverage (MRQ),-2.25
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2020-08-07 00:00:00
theStreet since,2020-08-07 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
