,HBNC
% Above Low,0.1018
% Held by Institutions,0.5589999999999999
52-Wk Range,['14.64 - 23.80']
Annual Dividend $,0.64
Annual Dividend %,0.0397
Ask,17.16
Ask Size,900.0
B/A Ratio,0.3333333333333333
B/A Size,300x900
Beta,0.9
Bid,15.4
Bid Size,300.0
Closing Price,16.13
Day Change $,0.28
Day Change %,0.0177
Day High,16.25
Day Low,15.8
Dividend Pay Date,2022-10-21 00:00:00
"EPS (TTM, GAAP)",2.14
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.365
Last (size),19.0
Last (time),1:00p ET 11/25/22
Market Cap,708.7M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",7.53
Prev Close,15.85
Short Interest,0.0123
Today's Open,15.88
Volume,60040.0
Volume 10-day Avg,161340.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.08080808080808088
Growth 1yr High Est,0.06796116504854366
Growth 1yr Consensus Est,0.07438462292831227
Growth 2yr Low Est,-0.015670725951099806
Growth 2yr High Est,0.011253309796999067
Growth 2yr Consensus Est,-0.0022087080770503698
Growth 5yr Low Est,0.06782253176129219
Growth 5yr High Est,0.08788471941462858
Growth 5yr Consensus Est,0.07785362558796038
Growth 5yr Actual/Est,0.07405423786162404
Growth 3yr Historic,0.0748910675381263
Price/Earnings (TTM),7.52546
Price/Sales (TTM),2.78834
Price/Book (MRQ),1.09866
Price/Cash Flow (TTM),6.76347
5yr Low,7.42
5yr High,23.8
5yr Avg Return,-0.002116666666666672
EPS Growth 5yr,0.2011638
Revenue Growth 5yr,0.1342538
Dividend Growth 5yr,0.147256
Short Int Current Month,480942.0
Short Int Prev Month,555427.0
Short Int Pct of Float,0.012273000000000001
Days to Cover,1.99334
Float,39.19734
Shares Outstanding,43.93489
Institutions Holding Shares,210.0
FCF Growth 5yr,0.20566239316239318
"Price/Earnings (TTM, GAAP)",7.53
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.42210000000000003
Net Profit Margin (TTM),0.3685
Annual Dividend Yield,0.039700000000000006
Dividend Change %,0.1042
"Dividend Growth Rate, 3 Years",0.11080000000000001
EPS Growth (MRQ),-0.0422
EPS Growth (TTM),0.0779
Revenue Growth (MRQ),0.09480000000000001
Revenue Growth (TTM),0.1391
Return On Equity (TTM),0.1384
Return On Assets (TTM),0.0123
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0045000000000000005
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-10-23 00:00:00
researchTeam since,2022-10-28 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
