,NTAP
% Above Low,0.2328
% Held by Institutions,0.8852
52-Wk Range,['60.56 - 96.82']
Annual Dividend $,2.0
Annual Dividend %,0.0268
Ask,78.5
Ask Size,400.0
Ask close,79.26
B/A Ratio,0.25
B/A Size,100x400
Beta,1.2
Bid,73.76
Bid Size,100.0
Bid close,69.96
Change Since Close,0.00| |(0.00%)
Closing Price,74.66
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-26 00:00:00
"EPS (TTM, GAAP)",4.16
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.331
Last (size),50.0
Last (time),1:00p ET 11/25/22
Last Trade,74.66
Market Cap,16.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.93
Prev Close,74.66
Short Interest,0.0262
Today's Open,
Volume,54.0
Volume 10-day Avg,1073377.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-11-29 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,0.04705882352941182
Growth 1yr High Est,0.13001912045889097
Growth 1yr Consensus Est,0.0885389719941514
Growth 2yr Low Est,0.010420797532496195
Growth 2yr High Est,0.11577098154924237
Growth 2yr Consensus Est,0.06309588954086928
Growth 5yr Low Est,0.11257734145767181
Growth 5yr High Est,0.11819273654811274
Growth 5yr Consensus Est,0.11538503900289228
Growth 5yr Actual/Est,0.10884320345839593
Growth 3yr Historic,0.07574043665997693
Price/Earnings (TTM),17.9257
Price/Sales (TTM),2.51527
Price/Book (MRQ),24.77303
Price/Cash Flow (TTM),14.05067
5yr Low,34.66
5yr High,96.82
5yr Avg Return,0.06420000000000001
EPS Growth 5yr,0.1904008
Revenue Growth 5yr,0.0284558
Dividend Growth 5yr,0.21428540000000001
Short Int Current Month,5678682.0
Short Int Prev Month,5532516.0
Short Int Pct of Float,0.026210200000000003
Days to Cover,4.73737
Float,216.6969
Shares Outstanding,217.3657
Institutions Holding Shares,955.0
FCF Growth 5yr,0.06758906171800601
"Price/Earnings (TTM, GAAP)",17.93
"PEG Ratio (TTM, GAAP)",1.93
Gross Profit Margin (TTM),0.6613
Operating Profit Margin (TTM),0.18030000000000002
Net Profit Margin (TTM),0.1471
Annual Dividend Yield,0.0268
Dividend Change %,0.0313
"Dividend Growth Rate, 3 Years",0.1225
EPS Growth (MRQ),-0.1553
EPS Growth (TTM),0.1095
Revenue Growth (MRQ),-0.0524
Revenue Growth (TTM),0.09369999999999999
Return On Equity (TTM),1.3784
Return On Assets (TTM),0.1015
Return On Investment (TTM),0.15789999999999998
Revenue Per Employee (TTM),537667.0
Total Debt/Total Capital (MRQ),0.8006000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),1.31
Interest Coverage (MRQ),25.09
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2020-12-02 00:00:00
cfra since,2016-08-18 00:00:00
ford since,2022-07-08 00:00:00
marketEdge opinion since,
