,MUR
% Below High,0.0732
% Held by Institutions,0.7831
52-Wk Range,['23.50 - 51.29']
Annual Dividend $,1.0
Annual Dividend %,0.021
Ask,46.7
Ask Size,300.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,2.5
Bid,45.85
Bid Size,500.0
Change Since Close,-1.24| |(-2.61%)
Closing Price,47.53
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",5.96
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.5650000000000001
Last (size),4.0
Last (time),5:00p ET 11/25/22
Last Trade,46.29
Market Cap,7.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.97
Prev Close,47.53
Short Interest,0.042699999999999995
Today's Open,
Volume,1277.0
Volume 10-day Avg,1399818.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,4.409523809523809
Growth 1yr High Est,5.299319727891157
Growth 1yr Consensus Est,4.854421768707483
Growth 2yr Low Est,2.122895707578806
Growth 2yr High Est,2.7290335140535698
Growth 2yr Consensus Est,2.425964610816188
Growth 5yr Low Est,1.2719741695788767
Growth 5yr High Est,1.3715097640197917
Growth 5yr Consensus Est,1.3217419667993342
Growth 5yr Actual/Est,-0.10090509783867768
Growth 3yr Historic,-1.1171954022988506
Price/Earnings (TTM),7.97482
Price/Sales (TTM),2.0179
Price/Book (MRQ),1.5691
Price/Cash Flow (TTM),3.9324
5yr Low,4.5
5yr High,51.29
5yr Avg Return,0.23548333333333335
EPS Growth 5yr,
Revenue Growth 5yr,0.0468752
Dividend Growth 5yr,-0.16062169999999998
Short Int Current Month,6256446.0
Short Int Prev Month,7152777.0
Short Int Pct of Float,0.0426696
Days to Cover,3.15705
Float,146.5004
Shares Outstanding,155.4553
Institutions Holding Shares,423.0
FCF Growth 5yr,1.2043280167656933
"Price/Earnings (TTM, GAAP)",7.97
"PEG Ratio (TTM, GAAP)",0.16
Gross Profit Margin (TTM),0.7968000000000001
Operating Profit Margin (TTM),0.42950000000000005
Net Profit Margin (TTM),0.3072
Annual Dividend Yield,0.021
Dividend Change %,-0.2
"Dividend Growth Rate, 3 Years",-0.20629999999999998
EPS Growth (MRQ),0.5057
EPS Growth (TTM),3.2122
Revenue Growth (MRQ),0.1724
Revenue Growth (TTM),0.9661000000000001
Return On Equity (TTM),0.2163
Return On Assets (TTM),0.1094
Return On Investment (TTM),0.1258
Revenue Per Employee (TTM),5260950.0
Total Debt/Total Capital (MRQ),0.2932
Change in Debt/Total Capital Quarter over Quarter,-0.0022
Quick Ratio (MRQ),0.74
Interest Coverage (MRQ),19.53
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-11-11 00:00:00
theStreet since,2022-08-17 00:00:00
cfra since,2021-04-23 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
