,MUR
Price/Earnings (TTM),7.97482
Price/Sales (TTM),2.0179
Price/Book (MRQ),1.5691
Price/Cash Flow (TTM),3.9324
5yr Low,4.5
5yr High,51.29
5yr Avg Return,0.23548333333333335
EPS Growth 5yr,
Revenue Growth 5yr,0.0468752
Dividend Growth 5yr,-0.16062169999999998
Short Int Current Month,6256446.0
Short Int Prev Month,7152777.0
Short Int Pct of Float,0.0426696
Days to Cover,3.15705
Float,146.5004
Shares Outstanding,155.4553
Institutions Holding Shares,423.0
% Held by Institutions,0.783095
FCF Growth 5yr,1.2043280167656933
