,HMN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",28.08,19.05,Valuation,1.474015748031496
Price/Sales (TTM),1.12,2.31,Valuation,0.48484848484848486
Price/Book (MRQ),1.43,3.65,Valuation,0.3917808219178082
"PEG Ratio (TTM, GAAP)",,6.78,Valuation,
Gross Profit Margin (TTM),,0.0207,Profitability,
Operating Profit Margin (TTM),0.0601,0.1342,Profitability,0.4478390461997019
Net Profit Margin (TTM),0.0409,0.1081,Profitability,0.37835337650323775
Annual Dividend Yield,0.034,0.0167,Dividend,2.035928143712575
Dividend Change %,0.0333,-0.004,Dividend,-8.325000000000001
"Dividend Growth Rate, 3 Years",0.028399999999999998,0.0233,Dividend,1.2188841201716736
EPS Growth (MRQ),2.1172999999999997,-0.11750000000000001,Gowth rates,-18.019574468085104
EPS Growth (TTM),-0.6242,-0.0281,Gowth rates,22.2135231316726
Revenue Growth (MRQ),0.0049,0.0922,Gowth rates,0.05314533622559652
Revenue Growth (TTM),0.013000000000000001,0.0431,Gowth rates,0.30162412993039445
Return On Equity (TTM),0.0393,0.35479999999999995,Effectiveness,0.1107666290868095
Return On Assets (TTM),0.0040999999999999995,0.031200000000000002,Effectiveness,0.1314102564102564
Return On Investment (TTM),,0.032,Effectiveness,
Revenue Per Employee (TTM),950690.0,1270541.0,Effectiveness,0.7482560578525211
Total Debt/Total Capital (MRQ),0.31620000000000004,0.38939999999999997,Financial strength,0.8120184899845918
Change in Debt/Total Capital Quarter over Quarter,0.0037,0.0019,Financial strength,1.9473684210526316
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),9.53,10.36,Financial strength,0.9198841698841699
