,HMN
% Above Low,0.1534
% Held by Institutions,1.0553
52-Wk Range,['32.60 - 42.95']
Annual Dividend $,1.28
Annual Dividend %,0.034
Ask,37.89
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.4
Bid,
Bid Size,
Closing Price,37.6
Day Change $,0.47
Day Change %,0.0127
Day High,37.88
Day Low,36.98
Dividend Pay Date,2022-09-30 00:00:00
"EPS (TTM, GAAP)",1.34
Ex-dividend,2022-09-15 00:00:00
Ex-dividend Date,09/15/22
Historical Volatility,0.271
Last (size),20.0
Last (time),5:00p ET 11/25/22
Market Cap,1.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.08
Prev Close,37.13
Short Interest,0.0181
Today's Open,37.46
Volume,78561.0
Volume 10-day Avg,173903.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.2093023255813954
Growth 1yr High Est,-0.13636363636363646
Growth 1yr Consensus Est,-0.17283298097251593
Growth 2yr Low Est,0.16005471956224354
Growth 2yr High Est,0.32655502392344493
Growth 2yr Consensus Est,0.24330487174284424
Growth 5yr Low Est,0.08002735978112177
Growth 5yr High Est,0.16327751196172247
Growth 5yr Consensus Est,0.12165243587142212
Growth 5yr Actual/Est,0.22744235323909254
Growth 3yr Historic,0.15033422459893042
Price/Earnings (TTM),28.07583
Price/Sales (TTM),1.11554
Price/Book (MRQ),1.42836
Price/Cash Flow (TTM),21.75072
5yr Low,30.48
5yr High,48.15
5yr Avg Return,-0.03098333333333333
EPS Growth 5yr,0.1087379
Revenue Growth 5yr,0.0329298
Dividend Growth 5yr,0.031865700000000004
Short Int Current Month,726549.0
Short Int Prev Month,956066.0
Short Int Pct of Float,0.0180597
Days to Cover,3.39013
Float,40.25762
Shares Outstanding,40.89829
Institutions Holding Shares,268.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",28.08
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.0601
Net Profit Margin (TTM),0.0409
Annual Dividend Yield,0.034
Dividend Change %,0.0333
"Dividend Growth Rate, 3 Years",0.028399999999999998
EPS Growth (MRQ),2.1172999999999997
EPS Growth (TTM),-0.6242
Revenue Growth (MRQ),0.0049
Revenue Growth (TTM),0.013000000000000001
Return On Equity (TTM),0.0393
Return On Assets (TTM),0.0040999999999999995
Return On Investment (TTM),
Revenue Per Employee (TTM),950690.0
Total Debt/Total Capital (MRQ),0.31620000000000004
Change in Debt/Total Capital Quarter over Quarter,0.0037
Quick Ratio (MRQ),
Interest Coverage (MRQ),9.53
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-08-05 00:00:00
researchTeam since,2021-07-23 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2021-08-06 00:00:00
cfra since,
marketEdge opinion since,
