,ATEN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",36.32,54.08,Valuation,0.6715976331360947
Price/Sales (TTM),4.9,9.39,Valuation,0.5218317358892439
Price/Book (MRQ),8.33,12.63,Valuation,0.6595407759303246
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7978000000000001,0.7206,Profitability,1.1071329447682488
Operating Profit Margin (TTM),0.17800000000000002,0.2172,Profitability,0.8195211786372009
Net Profit Margin (TTM),0.1449,0.1553,Profitability,0.9330328396651643
Annual Dividend Yield,0.013200000000000002,0.006999999999999999,Dividend,1.8857142857142861
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.1723,-0.0752,Gowth rates,-2.291223404255319
EPS Growth (TTM),-0.5645,-0.2824,Gowth rates,1.9989376770538245
Revenue Growth (MRQ),0.0601,0.15560000000000002,Gowth rates,0.3862467866323907
Revenue Growth (TTM),0.1295,0.1906,Gowth rates,0.6794333683105982
Return On Equity (TTM),0.21739999999999998,0.2189,Effectiveness,0.9931475559616262
Return On Assets (TTM),0.10890000000000001,0.10740000000000001,Effectiveness,1.0139664804469273
Return On Investment (TTM),0.15789999999999998,0.1387,Effectiveness,1.1384282624369142
Revenue Per Employee (TTM),463348.0,667721.0,Effectiveness,0.6939245583110311
Total Debt/Total Capital (MRQ),0.0,0.39659999999999995,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0004,Financial strength,
Quick Ratio (MRQ),1.77,1.0,Financial strength,1.77
Interest Coverage (MRQ),,0.28,Financial strength,
