,ATEN
% Below High,0.0788
% Held by Institutions,0.8967
52-Wk Range,['12.27 - 19.79']
Annual Dividend $,0.24
Annual Dividend %,0.0132
Ask,19.64
Ask Size,300.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,1.0
Bid,15.54
Bid Size,500.0
Closing Price,18.23
Day Change $,-0.04
Day Change %,-0.0022
Day High,18.45
Day Low,18.1
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",0.5
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.466
Last (size),31.0
Last (time),5:00p ET 11/25/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",36.32
Prev Close,18.27
Short Interest,0.0601
Today's Open,18.28
Volume,228478.0
Volume 10-day Avg,815914.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.6428571428571428
Growth 1yr High Est,0.6428571428571428
Growth 1yr Consensus Est,0.6428571428571428
Growth 2yr Low Est,0.40113871635610776
Growth 2yr High Est,0.4591097308488613
Growth 2yr Consensus Est,0.43012422360248453
Growth 5yr Low Est,inf
Growth 5yr High Est,inf
Growth 5yr Consensus Est,inf
Growth 5yr Actual/Est,3.6027785620176926
Growth 3yr Historic,3.5246212121212124
Price/Earnings (TTM),36.32125
Price/Sales (TTM),4.89786
Price/Book (MRQ),8.3255
Price/Cash Flow (TTM),29.20929
5yr Low,3.43
5yr High,19.79
5yr Avg Return,0.18066666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.0192574
Dividend Growth 5yr,
Short Int Current Month,4055958.0
Short Int Prev Month,3500895.0
Short Int Pct of Float,0.0600546
Days to Cover,3.78038
Float,67.41087
Shares Outstanding,73.44782
Institutions Holding Shares,284.0
FCF Growth 5yr,0.1252175643477056
"Price/Earnings (TTM, GAAP)",36.32
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7978000000000001
Operating Profit Margin (TTM),0.17800000000000002
Net Profit Margin (TTM),0.1449
Annual Dividend Yield,0.013200000000000002
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1723
EPS Growth (TTM),-0.5645
Revenue Growth (MRQ),0.0601
Revenue Growth (TTM),0.1295
Return On Equity (TTM),0.21739999999999998
Return On Assets (TTM),0.10890000000000001
Return On Investment (TTM),0.15789999999999998
Revenue Per Employee (TTM),463348.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.77
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2021-07-29 00:00:00
marketEdge opinion since,
