,COF
% Above Low,0.1268
% Held by Institutions,0.8886
52-Wk Range,['90.27 - 162.40']
Annual Dividend $,2.4
Annual Dividend %,0.0236
Ask,109.7
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,1.4
Bid,96.5
Bid Size,100.0
Closing Price,101.72
Day Change $,0.09
Day Change %,0.0009
Day High,101.95
Day Low,100.9
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",20.21
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.425
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,38.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.03
Prev Close,101.63
Short Interest,0.0146
Today's Open,101.14
Volume,589204.0
Volume 10-day Avg,2945684.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.32734912146676853
Growth 1yr High Est,-0.2711370262390671
Growth 1yr Consensus Est,-0.2992430738529178
Growth 2yr Low Est,-0.38741107407807474
Growth 2yr High Est,-0.10856851311953364
Growth 2yr Consensus Est,-0.2479897935988042
Growth 5yr Low Est,0.16175237230416328
Growth 5yr High Est,0.307123943083727
Growth 5yr Consensus Est,0.2344381576939451
Growth 5yr Actual/Est,0.805058227375796
Growth 3yr Historic,0.917387620328797
Price/Earnings (TTM),5.03421
Price/Sales (TTM),1.16498
Price/Book (MRQ),0.84437
Price/Cash Flow (TTM),3.37768
5yr Low,38.0
5yr High,177.95
5yr Avg Return,0.06425
EPS Growth 5yr,0.3121143
Revenue Growth 5yr,0.0239684
Dividend Growth 5yr,0.045639599999999995
Short Int Current Month,5512053.0
Short Int Prev Month,6715479.0
Short Int Pct of Float,0.014627300000000001
Days to Cover,1.85673
Float,377.4997
Shares Outstanding,381.6986
Institutions Holding Shares,1316.0
FCF Growth 5yr,-2.9731570427698117
"Price/Earnings (TTM, GAAP)",5.03
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.32270000000000004
Net Profit Margin (TTM),0.25670000000000004
Annual Dividend Yield,0.0236
Dividend Change %,1.0
"Dividend Growth Rate, 3 Years",0.0772
EPS Growth (MRQ),-0.1536
EPS Growth (TTM),-0.2451
Revenue Growth (MRQ),0.1557
Revenue Growth (TTM),0.1414
Return On Equity (TTM),0.1578
Return On Assets (TTM),0.0197
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-10-27 00:00:00
cfra since,2021-10-27 00:00:00
ford since,2022-07-01 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-06-30 00:00:00
