,COF,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",5.03,8.59,Valuation,0.5855646100116415
Price/Sales (TTM),1.16,1.88,Valuation,0.6170212765957447
Price/Book (MRQ),0.84,3.02,Valuation,0.2781456953642384
"PEG Ratio (TTM, GAAP)",,1.78,Valuation,
Gross Profit Margin (TTM),,0.38079999999999997,Profitability,
Operating Profit Margin (TTM),0.32270000000000004,0.2543,Profitability,1.2689736531655524
Net Profit Margin (TTM),0.25670000000000004,0.19039999999999999,Profitability,1.348214285714286
Annual Dividend Yield,0.0236,0.0187,Dividend,1.2620320855614973
Dividend Change %,1.0,0.242,Dividend,4.132231404958678
"Dividend Growth Rate, 3 Years",0.0772,0.0575,Dividend,1.342608695652174
EPS Growth (MRQ),-0.1536,-0.1573,Gowth rates,0.9764780673871583
EPS Growth (TTM),-0.2451,-0.04820000000000001,Gowth rates,5.0850622406639
Revenue Growth (MRQ),0.1557,0.2511,Gowth rates,0.6200716845878137
Revenue Growth (TTM),0.1414,0.21670000000000003,Gowth rates,0.6525149976926625
Return On Equity (TTM),0.1578,0.2596,Effectiveness,0.6078582434514638
Return On Assets (TTM),0.0197,0.0326,Effectiveness,0.6042944785276074
Return On Investment (TTM),,0.0432,Effectiveness,
Revenue Per Employee (TTM),,448656.0,Effectiveness,
Total Debt/Total Capital (MRQ),,0.4919,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.002,0.0012,Financial strength,1.6666666666666667
Quick Ratio (MRQ),,0.05,Financial strength,
Interest Coverage (MRQ),,16.82,Financial strength,
