,AMLX
% Below High,0.0083
% Held by Institutions,0.6446
52-Wk Range,['6.51 - 39.08']
Annual Dividend $,
Annual Dividend %,
Ask,38.75
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,37.78
Bid Size,100.0
Closing Price,38.75
Day Change $,1.2
Day Change %,0.032
Day High,39.08
Day Low,36.14
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.28
Ex-dividend Date,No dividend
Historical Volatility,1.2040000000000002
Last (size),4.0
Last (time),1:00p ET 11/25/22
Market Cap,2.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,37.55
Short Interest,0.11789999999999999
Today's Open,37.61
Volume,881723.0
Volume 10-day Avg,769038.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2023-03-29 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.057065217391304324
Growth 2yr High Est,-0.5665634674922602
Growth 2yr Consensus Est,-0.31181434244178224
Growth 5yr Low Est,-0.057065217391304324
Growth 5yr High Est,-0.5665634674922602
Growth 5yr Consensus Est,-0.31181434244178224
Growth 5yr Actual/Est,-0.5383428307738536
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),7441.822
Price/Book (MRQ),15.74807
Price/Cash Flow (TTM),
5yr Low,6.51
5yr High,38.77
5yr Avg Return,0.8452
Short Int Current Month,5245229.0
Short Int Prev Month,5357267.0
Short Int Pct of Float,0.1178542
Days to Cover,6.28346
Float,49.97814
Shares Outstanding,66.25622
Institutions Holding Shares,121.0
FCF Growth 5yr,0.39926549763889113
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5014000000000001
Operating Profit Margin (TTM),-536.4145
Net Profit Margin (TTM),-533.3768
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0101
EPS Growth (TTM),-1.7127000000000001
Revenue Growth (MRQ),
Revenue Growth (TTM),-0.45670000000000005
Return On Equity (TTM),-18.4402
Return On Assets (TTM),-1.18
Return On Investment (TTM),-1.3935
Revenue Per Employee (TTM),1682.93
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),5.26
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
