,AMLX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.82,Valuation,
Price/Sales (TTM),7441.82,18.12,Valuation,410.6964679911699
Price/Book (MRQ),15.75,11.52,Valuation,1.3671875
"PEG Ratio (TTM, GAAP)",,0.46,Valuation,
Gross Profit Margin (TTM),0.5014000000000001,0.6774,Profitability,0.7401830528491291
Operating Profit Margin (TTM),-536.4145,-0.8243,Profitability,650.7515467669538
Net Profit Margin (TTM),-533.3768,-0.8643000000000001,Profitability,617.1199814879093
Annual Dividend Yield,,0.0217,Dividend,
Dividend Change %,,0.0947,Dividend,
"Dividend Growth Rate, 3 Years",,0.08410000000000001,Dividend,
EPS Growth (MRQ),0.0101,0.0882,Gowth rates,0.1145124716553288
EPS Growth (TTM),-1.7127000000000001,0.5872999999999999,Gowth rates,-2.916226800612975
Revenue Growth (MRQ),,0.0441,Gowth rates,
Revenue Growth (TTM),-0.45670000000000005,0.17600000000000002,Gowth rates,-2.5948863636363635
Return On Equity (TTM),-18.4402,0.3019,Effectiveness,-61.080490228552506
Return On Assets (TTM),-1.18,0.09210000000000002,Effectiveness,-12.812160694896848
Return On Investment (TTM),-1.3935,0.1384,Effectiveness,-10.068641618497109
Revenue Per Employee (TTM),1682.93,1426391.0,Effectiveness,0.0011798518078142669
Total Debt/Total Capital (MRQ),0.0,0.4169,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01,0.0,Financial strength,-inf
Quick Ratio (MRQ),5.26,1.22,Financial strength,4.311475409836065
Interest Coverage (MRQ),,26.1,Financial strength,
