,RAMP
% Above Low,0.3761
% Held by Institutions,0.9331
52-Wk Range,['15.37 - 51.08']
Annual Dividend $,
Annual Dividend %,
Ask,21.18
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.1
Bid,21.12
Bid Size,200.0
Day Change $,0.08
Day Change %,0.0038
Day High,21.22
Day Low,20.88
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.51
Ex-dividend Date,No dividend
Historical Volatility,0.544
Last (size),7.0
Last (time),12:09p ET 11/28/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,21.07
Price,21.15
Short Interest,0.032799999999999996
Today's Open,20.88
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,2.888888888888889
Growth 1yr High Est,2.923076923076923
Growth 1yr Consensus Est,2.905982905982906
Growth 2yr Low Est,1.6015873015873017
Growth 2yr High Est,1.5595776772247358
Growth 2yr Consensus Est,1.5805824894060188
Growth 5yr Low Est,1.0677248677248679
Growth 5yr High Est,1.0397184514831572
Growth 5yr Consensus Est,1.0537216596040124
Growth 5yr Actual/Est,0.15036675281240502
Growth 3yr Historic,-0.08280632411067196
"Price/Earnings (TTM, GAAP)",
Price/Sales (TTM),2.45
Price/Book (MRQ),1.46
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7177
Operating Profit Margin (TTM),-0.1688
Net Profit Margin (TTM),-0.17920000000000003
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.14
EPS Growth (TTM),-1.9517
Revenue Growth (MRQ),0.034100000000000005
Revenue Growth (TTM),0.17809999999999998
Return On Equity (TTM),-0.1008
Return On Assets (TTM),-0.08289999999999999
Return On Investment (TTM),-0.09380000000000001
Revenue Per Employee (TTM),408336.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-04-04 00:00:00
theStreet since,2022-04-04 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
marketEdge opinion since,
